Date,Close/Last,Volume,Open,High,Low
11/29/2024,$84.67,110654,$84.51,$84.87,$84.13
11/27/2024,$83.92,559720,$85.07,$85.60,$83.69
11/26/2024,$84.81,358943,$85.19,$85.94,$84.10
11/25/2024,$85.02,150398,$86.84,$86.84,$84.75
11/22/2024,$86.29,125764,$85.71,$87.485,$85.4975
11/21/2024,$85.90,77027,$86.62,$87.17,$85.84
11/20/2024,$86.87,100353,$86.10,$87.27,$86.00
11/19/2024,$86.05,133802,$85.66,$87.17,$85.51
11/18/2024,$86.51,99966,$87.45,$88.16,$86.44
11/15/2024,$87.64,188400,$87.63,$89.67,$87.55
11/14/2024,$89.29,336962,$91.59,$92.19,$88.60
11/13/2024,$92.23,568417,$92.95,$94.35,$89.34
11/12/2024,$96.75,104319,$97.76,$98.02,$96.43
11/11/2024,$97.77,106445,$97.10,$99.04,$96.55
11/08/2024,$96.85,103027,$96.31,$97.28,$95.90
11/07/2024,$95.89,292690,$98.07,$98.37,$95.1701
11/06/2024,$100.25,251755,$93.91,$100.44,$93.91
11/05/2024,$92.59,90078,$90.93,$93.65,$90.52
11/04/2024,$91.15,153232,$90.18,$92.67,$89.68
11/01/2024,$89.65,283336,$87.16,$92.95,$87.16
10/31/2024,$80.23,190418,$82.92,$85.46,$79.72
10/30/2024,$81.11,137992,$79.69,$81.27,$79.69
10/29/2024,$79.71,107779,$80.60,$80.60,$79.17
10/28/2024,$80.92,100331,$81.52,$82.415,$80.65
10/25/2024,$81.42,75773,$80.46,$81.70,$80.28
10/24/2024,$80.32,54081,$81.17,$81.65,$80.20
10/23/2024,$80.65,81029,$79.39,$81.07,$75.83
10/22/2024,$80.64,122100,$76.59,$80.87,$76.59
10/21/2024,$77.02,61146,$78.90,$78.90,$76.71
10/18/2024,$79.23,87396,$80.08,$80.21,$78.70
10/17/2024,$79.61,54906,$79.46,$79.73,$78.95
10/16/2024,$79.81,83130,$80.07,$80.72,$79.42
10/15/2024,$79.68,111581,$79.62,$81.49,$79.51
10/14/2024,$79.94,63018,$78.17,$80.13,$78.17
10/11/2024,$78.56,73539,$79.35,$79.56,$78.50
10/10/2024,$78.85,107464,$79.13,$80.72,$78.54
10/09/2024,$79.51,84747,$77.72,$79.63,$77.59
10/08/2024,$77.80,71834,$76.17,$78.04,$76.17
10/07/2024,$76.91,97707,$77.54,$77.90,$76.22
10/04/2024,$77.44,93073,$77.20,$77.79,$76.66
10/03/2024,$76.75,112093,$78.26,$78.29,$75.804
10/02/2024,$78.61,156791,$78.60,$79.92,$78.245
10/01/2024,$78.52,158475,$76.83,$78.83,$76.16
09/30/2024,$76.82,149913,$77.70,$77.96,$76.40
09/27/2024,$77.74,147327,$75.24,$79.54,$75.15
09/26/2024,$75.17,357807,$74.61,$75.73,$74.234
09/25/2024,$74.05,353752,$76.30,$76.30,$73.83
09/24/2024,$76.87,1353517,$73.94,$77.67,$72.81
09/23/2024,$59.87,246852,$59.61,$60.10,$59.32
09/20/2024,$59.01,511631,$59.79,$60.43,$58.62
09/19/2024,$59.85,116874,$61.97,$62.57,$59.85
09/18/2024,$61.43,149725,$60.89,$62.06,$59.95
09/17/2024,$60.73,54645,$60.955,$61.72,$60.24
09/16/2024,$60.64,126486,$60.55,$61.25,$60.13
09/13/2024,$60.09,63350,$60.27,$61.17,$59.723
09/12/2024,$60.00,79594,$58.83,$60.19,$58.58
09/11/2024,$58.46,89887,$58.21,$58.855,$57.34
09/10/2024,$58.48,86057,$58.39,$58.795,$57.70
09/09/2024,$58.64,100623,$59.22,$59.7637,$58.34
09/06/2024,$59.49,85229,$60.48,$61.08,$58.93
09/05/2024,$60.17,177753,$59.71,$60.23,$58.52
09/04/2024,$59.30,235152,$60.15,$62.065,$58.70
09/03/2024,$60.46,169550,$60.65,$61.30,$60.39
08/30/2024,$61.25,95176,$61.50,$61.78,$60.74
08/29/2024,$61.93,65256,$62.72,$62.855,$61.705
08/28/2024,$62.62,87400,$62.16,$62.70,$61.77
08/27/2024,$62.50,74421,$61.10,$62.83,$61.10
08/26/2024,$61.55,73800,$61.37,$62.0399,$61.10
08/23/2024,$60.87,79619,$59.64,$60.93,$59.36
08/22/2024,$59.26,101724,$60.24,$60.38,$58.50
08/21/2024,$60.49,90536,$60.65,$60.67,$60.13
08/20/2024,$60.46,95760,$61.13,$61.13,$60.395
08/19/2024,$61.59,80255,$61.36,$62.48,$61.36
08/16/2024,$61.59,108428,$62.07,$62.68,$61.3675
08/15/2024,$62.03,87869,$61.87,$62.26,$61.49
08/14/2024,$61.21,144979,$62.11,$62.31,$61.14
08/13/2024,$62.35,98502,$62.32,$62.63,$61.8778
08/12/2024,$61.62,179015,$63.56,$63.56,$61.52
08/09/2024,$63.64,105297,$63.98,$64.15,$62.95
08/08/2024,$63.81,102656,$63.99,$64.24,$62.91
08/07/2024,$62.93,125731,$63.59,$64.64,$62.90
08/06/2024,$62.85,67442,$63.71,$64.21,$62.66
08/05/2024,$63.53,91699,$62.84,$64.7515,$62.61
08/02/2024,$65.02,98807,$64.84,$65.47,$64.17
08/01/2024,$65.83,104254,$66.29,$66.81,$65.26
07/31/2024,$66.22,152886,$66.86,$67.19,$65.87
07/30/2024,$66.69,146073,$65.60,$66.89,$64.96
07/29/2024,$65.60,251698,$63.62,$65.73,$63.18
07/26/2024,$63.76,250978,$61.34,$65.64,$61.32
07/25/2024,$55.42,138251,$55.21,$56.79,$55.21
07/24/2024,$54.81,105295,$56.45,$56.45,$54.74
07/23/2024,$56.79,99305,$55.30,$57.06,$54.21
07/22/2024,$55.32,285064,$56.47,$56.47,$54.24
07/19/2024,$56.23,131203,$56.37,$56.92,$55.99
