Date,Close/Last,Volume,Open,High,Low
11/29/2024,$85.14,614006,$85.00,$85.36,$84.51
11/27/2024,$84.38,1200691,$85.33,$86.20,$84.24
11/26/2024,$85.32,1237886,$85.78,$86.54,$84.87
11/25/2024,$85.70,1275153,$87.27,$87.36,$85.32
11/22/2024,$86.92,1035150,$86.42,$88.18,$86.04
11/21/2024,$86.49,735856,$87.41,$87.90,$86.37
11/20/2024,$87.56,772765,$86.60,$88.06,$86.24
11/19/2024,$86.62,1446143,$86.43,$87.935,$86.43
11/18/2024,$87.25,2074713,$87.83,$88.75,$87.06
11/15/2024,$88.32,1541034,$88.80,$90.24,$88.14
11/14/2024,$89.72,3623843,$92.36,$93.37,$89.08
11/13/2024,$92.69,5227534,$93.64,$94.93,$90.00
11/12/2024,$97.62,1443453,$97.59,$98.96,$97.315
11/11/2024,$98.46,1469383,$98.45,$99.82,$97.39
11/08/2024,$97.81,1388656,$97.95,$98.29,$96.86
11/07/2024,$96.98,1514951,$97.69,$99.63,$96.17
11/06/2024,$101.40,2286696,$94.51,$101.50,$94.51
11/05/2024,$93.26,1404861,$91.43,$94.48,$90.95
11/04/2024,$91.70,1627203,$90.55,$93.25,$90.15
11/01/2024,$89.90,2310584,$87.31,$93.66,$87.30
10/31/2024,$80.82,1328643,$84.54,$86.17,$80.54
10/30/2024,$81.62,895330,$80.23,$82.10,$80.02
10/29/2024,$80.40,925773,$80.73,$81.1692,$79.705
10/28/2024,$81.34,581027,$82.12,$82.9799,$81.08
10/25/2024,$81.89,501498,$81.16,$82.345,$80.88
10/24/2024,$80.91,612352,$81.89,$82.35,$80.82
10/23/2024,$81.32,554086,$80.25,$81.73,$80.25
10/22/2024,$81.29,1083250,$77.27,$81.61,$77.27
10/21/2024,$77.45,650762,$79.79,$79.79,$77.13
10/18/2024,$79.70,739795,$80.50,$80.82,$79.05
10/17/2024,$80.06,969673,$80.29,$80.29,$79.32
10/16/2024,$80.15,858601,$80.52,$81.251,$79.85
10/15/2024,$80.25,1161961,$80.62,$82.06,$80.07
10/14/2024,$80.42,583964,$78.71,$80.64,$78.45
10/11/2024,$79.00,574131,$79.38,$80.31,$78.93
10/10/2024,$79.43,860579,$80.40,$81.335,$79.08
10/09/2024,$80.12,871402,$78.44,$80.20,$77.13
10/08/2024,$78.34,1160242,$77.10,$78.61,$76.73
10/07/2024,$77.55,912118,$77.91,$78.52,$76.7636
10/04/2024,$77.91,913099,$77.65,$78.30,$77.17
10/03/2024,$77.18,1026699,$78.47,$79.20,$76.23
10/02/2024,$79.24,1387002,$78.97,$80.34,$78.15
10/01/2024,$79.08,1764437,$77.00,$79.33,$76.4697
09/30/2024,$77.29,1249455,$77.63,$78.42,$76.69
09/27/2024,$78.14,1411065,$75.91,$79.77,$75.525
09/26/2024,$75.46,1420405,$74.69,$76.11,$74.38
09/25/2024,$74.15,2439468,$76.56,$76.56,$73.89
09/24/2024,$76.86,7866375,$75.38,$78.18,$74.00
09/23/2024,$61.04,799445,$60.34,$61.21,$60.05
09/20/2024,$60.32,2155140,$60.85,$61.44,$59.85
09/19/2024,$60.92,693669,$63.47,$63.70,$60.88
09/18/2024,$62.45,521692,$61.73,$63.27,$61.02
09/17/2024,$61.79,450174,$62.36,$62.85,$61.34
09/16/2024,$61.80,540648,$61.54,$62.215,$61.20
09/13/2024,$61.18,386073,$61.47,$62.41,$60.78
09/12/2024,$61.10,573359,$59.61,$61.29,$59.47
09/11/2024,$59.56,622238,$59.64,$59.945,$58.35
09/10/2024,$59.57,583868,$60.14,$60.14,$58.65
09/09/2024,$59.79,816187,$60.45,$61.18,$59.49
09/06/2024,$60.64,637641,$61.14,$62.02,$59.94
09/05/2024,$61.24,1187664,$60.81,$61.29,$59.28
09/04/2024,$60.20,1299841,$61.76,$63.29,$59.67
09/03/2024,$61.60,424973,$62.10,$62.46,$61.39
08/30/2024,$62.38,764813,$63.38,$63.38,$61.93
08/29/2024,$63.10,630632,$64.08,$64.155,$62.83
08/28/2024,$63.76,731016,$63.56,$63.91,$62.915
08/27/2024,$63.73,740588,$62.77,$64.09,$62.61
08/26/2024,$62.76,521990,$62.19,$63.22,$62.19
08/23/2024,$62.13,616768,$60.65,$62.14,$60.46
08/22/2024,$60.44,1051234,$61.80,$61.80,$59.73
08/21/2024,$61.62,894129,$61.79,$61.90,$61.28
08/20/2024,$61.57,759088,$62.34,$62.4925,$61.56
08/19/2024,$62.82,505081,$62.82,$63.72,$62.54
08/16/2024,$62.66,828434,$63.35,$63.89,$62.49
08/15/2024,$63.20,1090215,$62.79,$63.43,$62.62
08/14/2024,$62.36,819907,$63.46,$63.505,$62.33
08/13/2024,$63.46,461838,$63.26,$63.79,$62.92
08/12/2024,$62.75,675077,$64.47,$64.48,$62.65
