Date,Close/Last,Volume,Open,High,Low
11/29/2024,$246.94,1806047,$245.81,$247.48,$244.435
11/27/2024,$246.20,3346658,$245.14,$248.15,$243.905
11/26/2024,$244.92,3251052,$241.81,$245.17,$241.47
11/25/2024,$239.94,5513103,$239.34,$240.82,$238.505
11/22/2024,$238.28,2540812,$236.44,$239.685,$236.28
11/21/2024,$236.58,2490056,$235.67,$237.325,$233.935
11/20/2024,$235.47,2603476,$233.20,$235.625,$233.20
11/19/2024,$233.20,3830398,$237.03,$237.03,$232.83
11/18/2024,$237.03,2442863,$236.92,$238.995,$234.56
11/15/2024,$235.61,3940160,$238.12,$239.175,$235.05
11/14/2024,$237.75,3925154,$241.01,$242.435,$237.5301
11/13/2024,$240.88,3820373,$239.26,$241.0885,$238.50
11/12/2024,$239.00,4226712,$237.96,$239.13,$236.255
11/11/2024,$238.32,3383147,$235.89,$239.13,$234.85
11/08/2024,$235.31,3452218,$233.68,$236.7415,$233.17
11/07/2024,$231.49,2561798,$232.05,$233.30,$230.00
11/06/2024,$232.19,4115907,$230.50,$232.95,$229.24
11/05/2024,$227.11,2864812,$226.092,$227.31,$224.95
11/04/2024,$224.25,2453927,$224.38,$225.00,$223.30
11/01/2024,$223.28,2922071,$223.00,$224.5812,$222.60
10/31/2024,$223.16,4152569,$223.34,$225.86,$222.62
10/30/2024,$222.77,4217985,$225.44,$225.73,$222.49
10/29/2024,$226.05,3150693,$227.72,$228.76,$225.78
10/28/2024,$227.81,2732576,$228.54,$228.56,$226.48
10/25/2024,$226.36,6478408,$233.55,$234.56,$225.244
10/24/2024,$233.56,6920419,$223.40,$234.399,$221.00
10/23/2024,$220.95,5245717,$217.53,$221.82,$216.73
10/22/2024,$219.01,6066860,$218.95,$221.12,$218.71
10/21/2024,$222.77,4614354,$222.74,$223.91,$221.2901
10/18/2024,$223.21,3334391,$221.50,$223.45,$220.91
10/17/2024,$221.95,3177735,$220.67,$222.73,$219.90
10/16/2024,$219.76,2730275,$216.26,$220.6902,$216.09
10/15/2024,$217.03,3382516,$215.91,$218.33,$215.64
10/14/2024,$215.91,2655787,$214.00,$216.25,$213.73
10/11/2024,$213.04,1778597,$212.66,$213.84,$212.17
10/10/2024,$211.45,2601806,$213.46,$215.175,$210.94
10/09/2024,$212.09,2243572,$211.17,$213.47,$210.51
10/08/2024,$211.17,3310491,$208.70,$212.24,$208.70
10/07/2024,$208.33,2651364,$207.70,$210.08,$207.405
10/04/2024,$208.28,2654939,$207.21,$208.73,$206.18
10/03/2024,$208.03,2902109,$207.46,$209.26,$207.44
10/02/2024,$208.08,2245065,$205.87,$208.36,$205.39
10/01/2024,$206.10,3702013,$205.30,$206.35,$202.77
09/30/2024,$206.36,3243654,$206.32,$207.47,$204.71
09/27/2024,$205.18,3157984,$203.25,$205.715,$202.81
09/26/2024,$203.25,2629244,$202.49,$208.16,$201.815
09/25/2024,$203.31,2666788,$202.31,$203.89,$201.71
09/24/2024,$201.44,4411418,$201.00,$203.725,$200.88
09/23/2024,$202.46,4545844,$199.10,$202.88,$198.69
09/20/2024,$199.44,12281940,$198.12,$199.68,$197.46
09/19/2024,$199.64,6172933,$199.08,$201.45,$197.00
09/18/2024,$196.68,7300284,$202.75,$206.10,$195.47
09/17/2024,$202.70,3619458,$205.16,$205.49,$201.782
09/16/2024,$205.85,2867667,$204.95,$206.305,$203.65
09/13/2024,$202.83,1935431,$202.00,$203.25,$200.72
09/12/2024,$202.41,3733588,$199.39,$202.63,$199.14
09/11/2024,$198.54,4037528,$196.55,$198.855,$194.41
09/10/2024,$196.50,3024545,$195.71,$196.897,$194.55
09/09/2024,$195.30,3839722,$193.27,$196.015,$193.27
09/06/2024,$193.00,5337108,$197.38,$197.70,$192.61
09/05/2024,$197.18,3573109,$198.50,$199.28,$196.16
09/04/2024,$198.80,3275395,$200.84,$202.30,$197.745
09/03/2024,$200.53,3572892,$199.61,$201.55,$199.32
08/30/2024,$198.72,3915152,$199.97,$200.68,$196.76
08/29/2024,$200.08,3340138,$201.41,$201.41,$199.27
08/28/2024,$201.41,4062880,$205.28,$205.28,$201.08
08/27/2024,$204.03,3687026,$201.14,$204.11,$200.24
08/26/2024,$200.43,2537485,$199.00,$200.60,$199.00
08/23/2024,$198.58,2481123,$197.75,$199.15,$196.49
08/22/2024,$196.44,3034963,$195.89,$197.15,$195.18
08/21/2024,$195.46,3252708,$196.37,$197.115,$195.2145
08/20/2024,$196.22,2885493,$196.81,$198.07,$196.14
08/19/2024,$197.58,2786409,$197.16,$198.79,$196.325
08/16/2024,$196.56,3161675,$194.39,$196.73,$193.3901
08/15/2024,$194.63,4673255,$196.32,$196.83,$192.88
08/14/2024,$196.49,3248106,$194.98,$197.0287,$194.48
08/13/2024,$195.33,3736908,$195.70,$195.93,$193.88
08/12/2024,$194.95,2870997,$194.20,$195.24,$193.26
08/09/2024,$194.20,2799922,$193.67,$194.38,$192.11
08/08/2024,$193.61,5437308,$190.44,$193.84,$190.00
08/07/2024,$190.59,4686140,$189.86,$193.93,$189.86
08/06/2024,$189.86,4492104,$186.95,$192.65,$186.52
08/05/2024,$186.87,6523022,$192.37,$193.48,$185.39
08/02/2024,$188.76,7922756,$189.00,$193.7658,$188.30
08/01/2024,$187.07,5228383,$181.87,$187.51,$181.815
07/31/2024,$182.28,8036659,$180.33,$182.75,$176.89
07/30/2024,$175.36,4848071,$177.59,$177.89,$173.7413
07/29/2024,$176.87,2400808,$175.71,$177.03,$175.07
07/26/2024,$175.53,3117229,$175.69,$176.545,$173.83
07/25/2024,$175.14,4166327,$178.25,$180.33,$175.02
07/24/2024,$176.89,4499649,$177.06,$177.53,$174.23
07/23/2024,$176.56,3621219,$177.62,$177.65,$175.71
07/22/2024,$177.44,4391139,$181.42,$181.685,$176.7807
07/19/2024,$182.05,2494988,$182.22,$183.24,$181.94
07/18/2024,$182.29,4237103,$183.63,$183.80,$181.72
07/17/2024,$183.56,5228524,$183.76,$185.42,$182.2567
07/16/2024,$182.98,5437526,$181.97,$183.82,$181.25
07/15/2024,$181.75,4028306,$178.75,$182.335,$178.665
07/12/2024,$179.54,3044094,$179.44,$180.79,$178.55
07/11/2024,$178.81,4760141,$179.25,$180.82,$177.91
07/10/2024,$180.52,3338394,$178.64,$181.08,$178.64
07/09/2024,$179.05,2940843,$179.68,$180.31,$178.46
07/08/2024,$179.17,2370248,$179.04,$179.93,$178.24
07/05/2024,$179.24,3256517,$178.91,$179.48,$177.93
07/03/2024,$178.46,1652895,$178.87,$179.595,$178.00
07/02/2024,$179.98,3317421,$178.12,$180.00,$177.70
07/01/2024,$179.08,3257361,$177.59,$179.17,$176.73
06/28/2024,$176.18,5172283,$177.68,$178.87,$176.11
06/27/2024,$177.42,3157431,$176.31,$177.61,$175.71
06/26/2024,$176.31,5316629,$177.01,$177.52,$173.77
06/25/2024,$177.63,5910361,$178.46,$178.80,$177.26
06/24/2024,$177.95,5958320,$177.45,$178.75,$176.17
06/21/2024,$176.73,13901210,$175.46,$177.42,$174.12
06/20/2024,$176.44,6596417,$176.51,$179.015,$175.77
06/18/2024,$177.61,5711985,$177.87,$178.25,$175.57
06/17/2024,$177.38,6591864,$175.99,$178.825,$174.81
06/14/2024,$175.99,4045187,$175.03,$176.08,$174.21
06/13/2024,$175.11,5444742,$174.18,$175.40,$173.18
06/12/2024,$173.79,10923070,$176.88,$177.21,$171.175
06/11/2024,$178.40,7331020,$180.75,$180.90,$178.04
06/10/2024,$180.69,6775052,$179.93,$182.31,$179.25
