Date,Close/Last,Volume,Open,High,Low
11/29/2024,$8.97,5351497,$8.99,$9.00,$8.91
11/27/2024,$8.97,5214501,$8.91,$9.03,$8.91
11/26/2024,$8.86,5462885,$8.96,$8.9712,$8.84
11/25/2024,$8.91,9600902,$8.87,$8.94,$8.8501
11/22/2024,$8.73,6563347,$8.73,$8.75,$8.69
11/21/2024,$8.84,5493050,$8.93,$8.945,$8.81
11/20/2024,$8.94,5416801,$8.98,$8.985,$8.92
11/19/2024,$8.92,6643829,$8.86,$8.94,$8.81
11/18/2024,$8.92,5592128,$8.87,$8.94,$8.86
11/15/2024,$8.77,5215649,$8.78,$8.81,$8.73
11/14/2024,$8.68,6772226,$8.74,$8.80,$8.68
11/13/2024,$8.75,9368015,$8.64,$8.80,$8.59
11/12/2024,$8.47,17724280,$8.76,$8.77,$8.43
11/11/2024,$9.32,5708346,$9.29,$9.40,$9.26
11/08/2024,$9.31,6738683,$9.27,$9.34,$9.25
11/07/2024,$9.32,3094906,$9.32,$9.37,$9.26
11/06/2024,$9.31,4355154,$9.265,$9.34,$9.18
11/05/2024,$9.41,4542554,$9.48,$9.49,$9.385
11/04/2024,$9.32,3530627,$9.41,$9.41,$9.31
11/01/2024,$9.35,3889356,$9.41,$9.43,$9.33
10/31/2024,$9.27,4797351,$9.30,$9.335,$9.205
10/30/2024,$9.39,8474719,$9.29,$9.46,$9.255
10/29/2024,$9.28,6606258,$9.35,$9.39,$9.25
10/28/2024,$9.54,3726199,$9.51,$9.57,$9.50
10/25/2024,$9.48,3819945,$9.56,$9.58,$9.465
10/24/2024,$9.51,2874014,$9.53,$9.59,$9.4712
10/23/2024,$9.46,4016464,$9.43,$9.48,$9.4209
10/22/2024,$9.55,4619958,$9.51,$9.59,$9.49
10/21/2024,$9.63,3549789,$9.76,$9.785,$9.63
10/18/2024,$9.76,2949859,$9.74,$9.79,$9.72
10/17/2024,$9.73,3658525,$9.70,$9.75,$9.675
10/16/2024,$9.85,3376731,$9.78,$9.88,$9.78
10/15/2024,$9.64,3958308,$9.65,$9.73,$9.64
10/14/2024,$9.68,2536249,$9.61,$9.69,$9.60
10/11/2024,$9.65,2644140,$9.66,$9.68,$9.63
10/10/2024,$9.74,2301716,$9.76,$9.76,$9.67
10/09/2024,$9.73,3562419,$9.64,$9.75,$9.625
10/08/2024,$9.66,3298036,$9.69,$9.695,$9.625
10/07/2024,$9.69,3478128,$9.72,$9.74,$9.6425
10/04/2024,$9.66,3593920,$9.62,$9.71,$9.62
10/03/2024,$9.69,5080332,$9.65,$9.715,$9.56
10/02/2024,$9.74,4144750,$9.76,$9.79,$9.71
10/01/2024,$9.95,3881060,$10.00,$10.01,$9.875
09/30/2024,$10.02,3238145,$10.08,$10.095,$9.98
09/27/2024,$10.09,3211617,$10.06,$10.11,$10.055
09/26/2024,$10.04,3695059,$10.06,$10.09,$10.00
09/25/2024,$10.06,4446156,$10.10,$10.12,$10.04
09/24/2024,$10.09,2865142,$10.07,$10.13,$10.05
09/23/2024,$10.11,3487491,$10.08,$10.12,$10.055
09/20/2024,$10.01,7638398,$10.03,$10.055,$9.97
09/19/2024,$10.06,5321975,$10.05,$10.09,$9.955
09/18/2024,$10.23,5187150,$10.22,$10.39,$10.205
09/17/2024,$10.18,5087040,$10.28,$10.28,$10.10
09/16/2024,$10.35,4498596,$10.20,$10.37,$10.20
09/13/2024,$10.17,4756774,$10.13,$10.20,$10.13
09/12/2024,$10.03,3923577,$9.96,$10.0496,$9.93
09/11/2024,$10.04,4743120,$9.91,$10.05,$9.90
09/10/2024,$9.84,2950163,$9.91,$9.93,$9.78
09/09/2024,$10.00,4115425,$9.98,$10.02,$9.95
09/06/2024,$9.97,6219144,$10.16,$10.16,$9.94
09/05/2024,$10.19,6251786,$10.28,$10.29,$10.18
09/04/2024,$9.98,5595328,$9.94,$10.07,$9.94
09/03/2024,$9.85,7359665,$9.92,$9.96,$9.83
08/30/2024,$9.77,7554434,$9.72,$9.77,$9.6836
08/29/2024,$9.67,5304506,$9.80,$9.805,$9.66
08/28/2024,$9.81,5115134,$9.79,$9.8495,$9.79
08/27/2024,$9.85,5701054,$9.84,$9.86,$9.81
08/26/2024,$9.67,2548427,$9.69,$9.7101,$9.66
08/23/2024,$9.72,9538549,$9.63,$9.75,$9.61
08/22/2024,$9.56,3640519,$9.61,$9.62,$9.54
08/21/2024,$9.57,3645229,$9.60,$9.60,$9.55
08/20/2024,$9.53,7330935,$9.58,$9.61,$9.52
08/19/2024,$9.72,6218147,$9.71,$9.77,$9.67
08/16/2024,$9.63,4326576,$9.52,$9.64,$9.50
08/15/2024,$9.56,4615322,$9.66,$9.66,$9.515
08/14/2024,$9.54,3950938,$9.54,$9.57,$9.51
08/13/2024,$9.47,5445118,$9.45,$9.48,$9.4202
08/12/2024,$9.45,5169445,$9.52,$9.57,$9.45
08/09/2024,$9.44,2481442,$9.42,$9.46,$9.40
08/08/2024,$9.40,5479802,$9.29,$9.42,$9.26
08/07/2024,$9.19,4519242,$9.25,$9.335,$9.17
08/06/2024,$8.94,4974103,$8.87,$9.01,$8.86
08/05/2024,$8.81,10803460,$8.79,$8.905,$8.73
