Date,Close/Last,Volume,Open,High,Low
11/29/2024,$10.48,11576770,$10.40,$10.51,$10.305
11/27/2024,$10.38,26060090,$10.18,$10.47,$10.18
11/26/2024,$10.11,27346620,$10.35,$10.44,$10.07
11/25/2024,$10.40,40833570,$10.205,$10.46,$10.10
11/22/2024,$10.11,27340500,$10.23,$10.395,$10.085
11/21/2024,$10.23,38932170,$9.975,$10.30,$9.92
11/20/2024,$9.95,43428430,$9.51,$10.04,$9.455
11/19/2024,$9.50,32289280,$9.29,$9.59,$9.05
11/18/2024,$9.47,32338060,$9.445,$9.76,$9.36
11/15/2024,$9.22,37874620,$9.87,$9.875,$9.10
11/14/2024,$9.86,33526940,$9.74,$9.945,$9.71
11/13/2024,$9.72,46976900,$9.39,$9.89,$9.305
11/12/2024,$9.22,35222440,$9.26,$9.26,$9.08
11/11/2024,$9.33,39896820,$9.22,$9.545,$9.1516
11/08/2024,$9.18,52663440,$9.32,$9.33,$8.855
11/07/2024,$9.37,72314840,$9.02,$9.80,$8.83
11/06/2024,$8.38,44114640,$8.525,$8.59,$8.33
11/05/2024,$8.21,22988070,$8.15,$8.25,$8.03
11/04/2024,$8.17,28957360,$8.24,$8.408,$8.015
11/01/2024,$8.23,26744980,$8.03,$8.24,$7.98
10/31/2024,$8.13,47646380,$7.95,$8.35,$7.85
10/30/2024,$7.77,25756200,$7.52,$7.84,$7.50
10/29/2024,$7.55,16873920,$7.53,$7.705,$7.49
10/28/2024,$7.61,17452810,$7.675,$7.77,$7.575
10/25/2024,$7.60,19081770,$7.59,$7.785,$7.55
10/24/2024,$7.52,18620700,$7.35,$7.595,$7.35
10/23/2024,$7.33,23369290,$7.51,$7.545,$7.25
10/22/2024,$7.53,18291180,$7.55,$7.63,$7.52
10/21/2024,$7.55,28057140,$7.70,$7.873,$7.52
10/18/2024,$7.82,16790730,$7.78,$7.92,$7.7413
10/17/2024,$7.78,27109030,$7.95,$8.01,$7.65
10/16/2024,$8.00,24057980,$7.65,$8.03,$7.63
10/15/2024,$7.60,25360740,$7.53,$7.83,$7.515
10/14/2024,$7.54,19693550,$7.49,$7.57,$7.354
10/11/2024,$7.52,19385650,$7.58,$7.71,$7.51
10/10/2024,$7.54,21086730,$7.65,$7.70,$7.49
10/09/2024,$7.73,15583690,$7.68,$7.88,$7.64
10/08/2024,$7.72,21516450,$7.64,$7.77,$7.57
10/07/2024,$7.72,20677550,$7.70,$7.91,$7.63
10/04/2024,$7.78,21051970,$7.87,$7.99,$7.68
10/03/2024,$7.74,30586810,$7.85,$7.91,$7.624
10/02/2024,$7.97,24302230,$8.13,$8.24,$7.91
10/01/2024,$8.16,25439300,$8.24,$8.34,$8.12
09/30/2024,$8.25,23954570,$8.36,$8.392,$8.09
