Date,Close/Last,Volume,Open,High,Low
11/29/2024,$99.86,1260574,$99.93,$100.28,$99.30
11/27/2024,$99.89,1558665,$99.60,$100.72,$99.60
11/26/2024,$99.33,2277618,$98.73,$99.47,$98.31
11/25/2024,$98.10,3384392,$97.89,$98.50,$97.1175
11/22/2024,$97.59,2048838,$98.19,$98.523,$97.5411
11/21/2024,$98.08,2849792,$97.11,$98.15,$96.405
11/20/2024,$96.80,2527616,$96.25,$96.859,$95.90
11/19/2024,$96.70,1879773,$96.10,$96.76,$95.375
11/18/2024,$96.49,3399380,$96.31,$97.38,$96.10
11/15/2024,$96.31,5558396,$94.12,$96.44,$93.805
11/14/2024,$93.76,2571099,$93.18,$94.59,$92.95
11/13/2024,$93.33,2561491,$93.05,$93.47,$92.51
11/12/2024,$92.96,3484789,$94.32,$94.74,$92.60
11/11/2024,$94.51,3411586,$96.00,$96.37,$94.25
11/08/2024,$96.40,2581086,$95.87,$97.15,$95.59
11/07/2024,$96.33,3510024,$96.18,$96.905,$95.31
11/06/2024,$96.25,6428236,$99.13,$100.00,$96.18
11/05/2024,$100.40,5926215,$98.63,$100.48,$98.19
11/04/2024,$98.40,3879984,$96.75,$98.44,$96.6872
11/01/2024,$97.25,3807230,$98.53,$99.23,$97.07
10/31/2024,$98.75,4884891,$97.45,$99.34,$97.26
10/30/2024,$97.40,3362348,$97.39,$97.85,$96.6901
10/29/2024,$97.39,2660593,$98.73,$98.73,$97.07
10/28/2024,$99.11,2420510,$98.85,$99.33,$98.56
10/25/2024,$98.19,2338992,$99.79,$99.90,$98.05
10/24/2024,$99.39,2099418,$101.29,$101.43,$99.18
10/23/2024,$100.83,1863643,$100.00,$100.87,$99.68
10/22/2024,$99.89,1981777,$99.67,$100.25,$99.21
10/21/2024,$100.16,2548122,$100.78,$101.08,$99.66
10/18/2024,$100.69,3111829,$100.83,$100.84,$99.76
10/17/2024,$100.91,2008881,$101.75,$101.815,$100.57
10/16/2024,$101.32,2695156,$100.10,$101.7062,$99.86
10/15/2024,$99.66,3174182,$99.37,$100.61,$99.28
10/14/2024,$98.79,2510985,$98.35,$98.94,$98.1601
10/11/2024,$98.25,1849142,$97.30,$98.37,$97.26
10/10/2024,$97.22,1669364,$97.73,$98.34,$97.045
10/09/2024,$97.72,1777061,$98.04,$98.49,$97.41
10/08/2024,$98.20,2194225,$98.08,$98.69,$97.90
10/07/2024,$98.06,2928891,$99.63,$99.78,$97.68
10/04/2024,$100.28,1900833,$100.47,$100.84,$99.61
10/03/2024,$101.37,3054304,$101.95,$102.45,$101.235
10/02/2024,$101.81,2580378,$101.39,$102.1924,$101.2701
10/01/2024,$102.22,2072225,$102.28,$102.90,$101.67
09/30/2024,$102.60,2890479,$101.87,$102.92,$101.41
09/27/2024,$101.84,2019138,$101.24,$102.14,$101.00
09/26/2024,$100.74,2436611,$101.00,$101.40,$100.54
09/25/2024,$101.15,2650123,$101.56,$101.91,$100.7899
09/24/2024,$101.41,3226896,$101.84,$103.02,$101.28
09/23/2024,$102.53,2720562,$102.94,$102.985,$101.95
09/20/2024,$102.15,5395288,$102.00,$102.255,$101.07
09/19/2024,$101.74,4300371,$102.27,$102.84,$101.275
09/18/2024,$103.22,1890229,$104.15,$104.36,$102.55
09/17/2024,$104.21,1724441,$104.71,$104.94,$103.92
