Date,Close/Last,Volume,Open,High,Low
11/29/2024,$113.21,107742,$113.13,$113.52,$112.62
11/27/2024,$112.28,187316,$111.89,$113.17,$111.60
11/26/2024,$111.50,232602,$112.40,$113.3748,$111.21
11/25/2024,$112.91,449896,$113.25,$114.555,$112.41
11/22/2024,$112.56,317893,$111.60,$112.845,$111.52
11/21/2024,$111.33,346743,$109.25,$112.64,$109.15
11/20/2024,$109.05,279584,$109.16,$109.52,$107.905
11/19/2024,$109.36,289492,$106.63,$109.50,$106.63
11/18/2024,$108.01,290467,$106.38,$108.52,$106.20
11/15/2024,$106.55,332308,$107.33,$107.3728,$105.75
11/14/2024,$107.02,335524,$109.31,$110.25,$105.995
11/13/2024,$109.88,365514,$111.01,$111.01,$107.8748
11/12/2024,$107.51,297264,$107.49,$108.80,$107.27
11/11/2024,$107.51,282552,$107.49,$109.19,$107.24
11/08/2024,$106.59,348399,$107.26,$108.04,$106.16
11/07/2024,$106.50,327754,$106.41,$107.715,$106.0569
11/06/2024,$106.91,468094,$105.28,$107.43,$103.99
11/05/2024,$101.82,345502,$99.64,$101.91,$99.45
11/04/2024,$99.45,345469,$99.16,$100.72,$99.16
11/01/2024,$99.34,303382,$97.99,$100.23,$97.96
10/31/2024,$97.88,421386,$99.50,$101.28,$97.80
10/30/2024,$101.29,324142,$102.25,$103.065,$101.125
10/29/2024,$102.41,306602,$100.39,$102.70,$100.39
10/28/2024,$101.03,235291,$100.51,$101.51,$100.33
10/25/2024,$100.01,201426,$102.39,$103.428,$99.75
10/24/2024,$102.16,285523,$103.41,$103.5733,$102.14
10/23/2024,$103.14,292613,$102.72,$103.39,$102.52
10/22/2024,$103.14,236932,$103.55,$104.11,$102.86
10/21/2024,$104.10,367066,$104.47,$105.04,$103.155
10/18/2024,$104.07,404897,$106.12,$106.55,$103.55
10/17/2024,$106.30,331582,$105.89,$106.47,$105.32
10/16/2024,$105.62,532604,$104.43,$105.62,$104.30
10/15/2024,$103.89,415069,$102.61,$104.22,$102.61
10/14/2024,$102.17,364268,$100.88,$102.37,$100.88
10/11/2024,$101.01,415703,$98.98,$101.04,$98.8101
10/10/2024,$99.02,328532,$98.43,$99.145,$97.84
10/09/2024,$99.23,263711,$98.27,$99.95,$97.47
10/08/2024,$98.30,263349,$98.12,$98.785,$97.27
10/07/2024,$97.50,283255,$98.27,$98.27,$97.05
10/04/2024,$98.95,202441,$99.97,$100.15,$98.84
10/03/2024,$99.25,273631,$98.26,$99.81,$97.785
10/02/2024,$98.26,173260,$98.37,$98.6916,$97.77
10/01/2024,$98.52,302183,$99.10,$99.48,$97.657
09/30/2024,$99.49,322433,$98.06,$99.63,$97.68
09/27/2024,$98.36,520431,$98.42,$99.89,$98.33
09/26/2024,$98.26,327089,$100.38,$100.68,$98.23
09/25/2024,$100.01,406706,$100.15,$100.185,$99.35
09/24/2024,$100.13,408099,$99.85,$100.66,$98.89
09/23/2024,$100.10,474409,$100.20,$100.90,$99.31
09/20/2024,$99.83,1511270,$101.73,$101.74,$98.33
09/19/2024,$101.23,995870,$102.00,$102.02,$100.915
09/18/2024,$100.56,3232289,$101.36,$101.94,$99.90
09/17/2024,$106.73,218351,$108.68,$109.085,$106.68
09/16/2024,$108.40,170345,$108.38,$108.735,$107.57
09/13/2024,$108.06,165836,$107.35,$108.48,$106.23
09/12/2024,$106.41,161099,$105.05,$106.53,$103.96
09/11/2024,$104.75,192463,$104.56,$105.14,$102.38
09/10/2024,$105.19,322197,$105.84,$106.41,$104.10
09/09/2024,$105.37,205187,$104.40,$105.85,$103.565
09/06/2024,$103.55,216898,$104.98,$105.43,$103.08
09/05/2024,$104.70,159782,$105.20,$105.20,$103.42
09/04/2024,$105.24,153863,$104.75,$105.425,$104.35
09/03/2024,$104.75,236210,$107.63,$107.63,$104.395
08/30/2024,$107.86,128083,$107.07,$108.04,$106.22
08/29/2024,$106.71,165914,$107.11,$107.99,$106.33
08/28/2024,$106.83,113824,$105.94,$107.20,$105.94
08/27/2024,$105.88,160798,$107.30,$107.6785,$105.82
08/26/2024,$107.58,233993,$107.95,$108.62,$107.12
08/23/2024,$107.10,237577,$105.88,$107.365,$105.24
08/22/2024,$105.25,182934,$105.86,$106.185,$105.08
08/21/2024,$105.62,247283,$106.69,$106.69,$104.72
08/20/2024,$106.01,195002,$105.91,$106.22,$104.80
08/19/2024,$105.84,140783,$104.91,$105.87,$104.23
08/16/2024,$105.12,119810,$105.10,$105.9399,$104.77
08/15/2024,$105.38,180131,$104.95,$106.25,$104.17
08/14/2024,$103.57,172639,$103.81,$103.97,$102.96
08/13/2024,$103.42,189569,$103.26,$103.79,$102.15
08/12/2024,$102.28,216369,$103.00,$103.22,$101.90
08/09/2024,$103.22,183608,$104.07,$104.07,$102.73
08/08/2024,$103.86,191963,$103.80,$104.87,$102.88
08/07/2024,$102.98,268023,$102.30,$104.705,$102.02
08/06/2024,$101.98,331200,$101.69,$104.36,$100.93
08/05/2024,$101.83,472312,$105.10,$105.39,$100.99
08/02/2024,$105.46,680159,$96.07,$105.53,$91.0084
08/01/2024,$102.29,602829,$103.11,$104.025,$100.2211
07/31/2024,$103.56,474163,$103.21,$105.03,$102.37
07/30/2024,$102.64,641919,$102.95,$105.635,$102.17
07/29/2024,$102.40,623313,$102.58,$103.29,$101.69
07/26/2024,$101.92,431447,$103.01,$103.235,$101.50
07/25/2024,$101.77,448590,$105.72,$106.25,$101.695
07/24/2024,$105.47,345432,$105.63,$107.41,$105.07
07/23/2024,$105.73,385389,$107.60,$108.07,$105.54
07/22/2024,$107.72,311575,$106.52,$108.59,$105.66
07/19/2024,$106.19,179897,$106.47,$107.37,$105.115
07/18/2024,$106.38,310272,$106.64,$107.43,$106.04
07/17/2024,$106.76,635480,$105.04,$107.78,$104.63
07/16/2024,$105.38,610440,$105.98,$107.19,$105.21
07/15/2024,$105.26,511126,$103.36,$106.07,$103.16
07/12/2024,$102.99,368343,$102.79,$103.209,$101.46
07/11/2024,$101.65,463047,$103.59,$104.78,$101.17
07/10/2024,$101.64,275433,$100.11,$102.00,$98.91
07/09/2024,$100.29,279318,$100.44,$101.04,$99.605
07/08/2024,$100.06,304513,$98.37,$100.16,$98.10
07/05/2024,$97.93,137739,$97.69,$98.37,$96.74
07/03/2024,$97.99,85090,$97.37,$98.465,$96.87
07/02/2024,$96.86,224069,$96.96,$97.10,$95.88
07/01/2024,$96.59,333683,$99.51,$100.0599,$95.64
06/28/2024,$99.22,731499,$100.11,$100.97,$99.05
06/27/2024,$99.79,228992,$99.04,$99.87,$98.44
06/26/2024,$98.44,345766,$99.01,$99.74,$98.05
06/25/2024,$99.33,254895,$100.01,$100.51,$98.90
06/24/2024,$100.03,269000,$98.45,$100.505,$98.27
06/21/2024,$98.20,500475,$98.08,$98.525,$97.45
06/20/2024,$98.33,262527,$98.83,$99.69,$97.55
06/18/2024,$99.49,341517,$98.91,$100.295,$98.2413
06/17/2024,$98.59,258720,$96.05,$98.93,$95.89
06/14/2024,$96.38,200968,$96.06,$96.8683,$95.48
06/13/2024,$96.92,137758,$96.57,$97.37,$95.8996
06/12/2024,$97.14,308881,$96.61,$97.885,$96.38
06/11/2024,$95.06,189936,$95.34,$96.09,$94.75
06/10/2024,$95.96,158132,$95.08,$96.47,$95.08
06/07/2024,$95.36,188898,$96.12,$96.42,$95.06
06/06/2024,$96.47,331959,$98.37,$99.04,$95.87
06/05/2024,$98.33,344844,$97.76,$99.995,$96.54
06/04/2024,$97.48,402620,$98.64,$99.26,$97.09
06/03/2024,$98.92,425606,$101.90,$101.99,$97.74
05/31/2024,$100.59,302200,$99.43,$100.74,$98.31
05/30/2024,$99.25,201642,$98.47,$99.53,$98.28
05/29/2024,$98.11,321063,$98.48,$99.03,$97.53
05/28/2024,$99.43,320686,$99.99,$99.99,$98.68
05/24/2024,$99.75,144590,$98.01,$99.75,$97.27
05/23/2024,$97.86,270093,$98.81,$99.61,$97.19
05/22/2024,$98.87,271980,$98.53,$99.075,$97.835
05/21/2024,$98.81,296859,$99.98,$100.42,$98.35
05/20/2024,$100.26,210153,$98.33,$100.28,$98.00
05/17/2024,$98.55,130806,$97.66,$98.68,$97.19
05/16/2024,$97.62,137196,$97.86,$98.35,$96.90
05/15/2024,$97.61,226861,$98.40,$98.6351,$96.03
05/14/2024,$97.63,218421,$97.34,$98.45,$96.655
05/13/2024,$96.47,270577,$98.28,$98.28,$95.68
05/10/2024,$97.51,237352,$97.07,$97.72,$96.89
05/09/2024,$96.78,193883,$95.81,$96.85,$95.04
05/08/2024,$95.62,243260,$94.90,$96.04,$94.90
05/07/2024,$95.35,247112,$94.85,$95.37,$94.09
05/06/2024,$94.28,183214,$91.81,$94.2999,$91.81
05/03/2024,$91.62,232339,$92.48,$93.00,$91.14
05/02/2024,$91.55,171350,$90.91,$91.72,$90.1201
05/01/2024,$90.18,228407,$90.19,$90.895,$88.8925
04/30/2024,$90.40,210241,$90.67,$91.31,$90.08
04/29/2024,$90.82,301865,$89.61,$91.735,$88.86
04/26/2024,$90.06,607213,$93.35,$93.35,$86.41
04/25/2024,$94.32,317310,$94.72,$94.93,$93.59
04/24/2024,$94.99,187674,$95.16,$96.30,$94.14
04/23/2024,$95.43,165041,$94.65,$96.0198,$93.23
04/22/2024,$94.09,156086,$93.81,$94.87,$93.53
04/19/2024,$93.43,219124,$92.45,$93.62,$92.11
04/18/2024,$92.37,232722,$92.52,$93.035,$92.07
04/17/2024,$92.45,339337,$94.95,$94.95,$92.395
04/16/2024,$94.31,237951,$95.64,$96.17,$94.205
04/15/2024,$95.64,279294,$95.55,$95.87,$94.45
04/12/2024,$95.24,370966,$96.56,$97.34,$94.04
04/11/2024,$97.18,248255,$96.77,$97.72,$96.265
04/10/2024,$96.64,280911,$94.73,$96.965,$94.39
04/09/2024,$96.72,185033,$96.22,$96.93,$95.56
04/08/2024,$95.66,177281,$94.51,$96.01,$94.40
