Date,Close/Last,Volume,Open,High,Low
11/29/2024,$64.63,757492,$64.87,$65.0099,$64.56
11/27/2024,$65.00,1543431,$64.78,$65.47,$64.78
11/26/2024,$64.84,1630313,$64.78,$64.885,$64.235
11/25/2024,$64.49,2099901,$64.54,$64.94,$64.29
11/22/2024,$64.26,1897135,$64.95,$64.95,$64.23
11/21/2024,$64.56,1780879,$63.70,$64.69,$63.38
11/20/2024,$64.37,1584079,$64.05,$64.42,$63.74
11/19/2024,$63.98,1260037,$63.53,$64.00,$63.00
11/18/2024,$63.87,1493196,$63.58,$64.135,$63.48
11/15/2024,$63.76,1930961,$63.06,$63.825,$62.81
11/14/2024,$62.80,1977255,$63.38,$63.455,$62.71
11/13/2024,$63.38,2317061,$63.90,$63.90,$62.84
11/12/2024,$63.68,2430270,$63.48,$64.07,$63.195
11/11/2024,$63.28,2435462,$62.40,$63.7411,$62.32
11/08/2024,$62.51,3095604,$61.24,$62.56,$61.11
11/07/2024,$61.41,3282813,$61.09,$62.035,$60.39
11/06/2024,$61.05,1992531,$60.80,$61.60,$60.62
11/05/2024,$61.06,2384667,$59.67,$61.10,$59.33
11/04/2024,$59.79,1879630,$59.35,$59.805,$59.23
11/01/2024,$59.58,1334388,$60.32,$60.90,$59.50
10/31/2024,$60.44,2244536,$60.11,$60.81,$60.0201
10/30/2024,$60.06,1839219,$59.99,$60.235,$59.83
10/29/2024,$59.91,1286027,$60.59,$60.59,$59.80
10/28/2024,$60.97,908362,$61.19,$61.30,$60.935
10/25/2024,$60.77,1367960,$61.87,$61.87,$60.75
10/24/2024,$61.64,1004203,$62.00,$62.10,$61.46
10/23/2024,$61.96,1267691,$61.64,$61.97,$61.485
10/22/2024,$61.51,1581339,$60.97,$61.63,$60.59
10/21/2024,$61.20,1972774,$61.18,$61.29,$60.64
10/18/2024,$61.12,1713710,$60.60,$61.54,$60.39
10/17/2024,$60.78,1133206,$61.24,$61.26,$60.67
10/16/2024,$61.15,1382207,$60.38,$61.25,$60.26
10/15/2024,$60.34,1460663,$60.07,$60.86,$60.02
10/14/2024,$59.73,1143354,$59.32,$59.9111,$59.24
10/11/2024,$59.34,979068,$59.12,$59.47,$59.12
10/10/2024,$59.06,1603542,$59.66,$59.95,$59.002
10/09/2024,$59.57,1710088,$59.91,$60.08,$59.285
10/08/2024,$59.86,1646583,$59.79,$60.15,$59.585
10/07/2024,$59.59,2088679,$60.04,$60.1036,$59.35
10/04/2024,$60.33,2389568,$60.27,$60.48,$59.91
10/03/2024,$60.77,3489600,$61.29,$61.3736,$60.23
10/02/2024,$61.27,2281089,$61.29,$61.82,$61.135
10/01/2024,$61.64,3800983,$62.11,$62.11,$61.24
09/30/2024,$62.01,1173142,$62.12,$62.255,$61.63
09/27/2024,$61.94,1527188,$61.71,$62.21,$61.53
09/26/2024,$61.53,1643498,$61.45,$61.99,$61.385
09/25/2024,$61.75,1967849,$61.97,$62.06,$61.45
09/24/2024,$61.71,2211325,$61.68,$62.575,$61.40
09/23/2024,$62.00,2136130,$62.00,$62.05,$61.66
09/20/2024,$61.65,3699843,$61.52,$61.83,$61.0414
09/19/2024,$61.07,1610903,$61.23,$61.40,$60.55
09/18/2024,$61.55,1571467,$61.73,$62.08,$61.32
09/17/2024,$61.91,1287911,$61.93,$62.06,$61.65
09/16/2024,$62.01,1432930,$61.35,$62.24,$61.25
09/13/2024,$61.06,1304751,$60.67,$61.13,$60.47
09/12/2024,$60.36,1536280,$60.12,$60.43,$59.84
