Date,Close/Last,Volume,Open,High,Low
11/29/2024,$39.56,2407408,$39.50,$39.69,$39.335
11/27/2024,$39.51,4226957,$39.41,$39.885,$39.37
11/26/2024,$39.49,5591719,$39.18,$39.58,$39.16
11/25/2024,$39.13,7013676,$38.95,$39.27,$38.69
11/22/2024,$38.71,4038976,$39.36,$39.56,$38.68
11/21/2024,$39.31,7606376,$38.72,$39.36,$38.50
11/20/2024,$38.73,5551069,$39.20,$39.24,$38.26
11/19/2024,$39.10,6070149,$39.07,$39.22,$38.705
11/18/2024,$39.23,7261070,$39.05,$39.39,$38.735
11/15/2024,$39.11,9038601,$38.11,$39.19,$38.11
11/14/2024,$38.12,4663566,$38.23,$38.39,$38.08
11/13/2024,$38.14,6174734,$38.24,$38.40,$37.805
11/12/2024,$38.16,3815016,$38.27,$38.54,$38.05
11/11/2024,$38.40,6534326,$38.09,$38.51,$38.01
11/08/2024,$38.11,4985447,$37.92,$38.315,$37.83
11/07/2024,$38.09,5879267,$38.33,$38.495,$38.02
11/06/2024,$38.32,11397880,$38.25,$38.60,$37.855
11/05/2024,$38.47,4591462,$37.97,$38.495,$37.76
11/04/2024,$37.97,7614716,$38.07,$38.40,$37.76
11/01/2024,$38.15,7671542,$39.24,$39.59,$38.11
10/31/2024,$39.30,9240889,$39.67,$39.83,$39.27
10/30/2024,$39.70,9458392,$39.53,$40.06,$39.21
10/29/2024,$39.55,7521491,$39.89,$40.00,$39.45
10/28/2024,$40.23,4288885,$40.17,$40.505,$40.17
10/25/2024,$40.07,5418542,$40.97,$41.01,$39.975
10/24/2024,$40.71,5218253,$40.80,$41.00,$40.525
10/23/2024,$40.74,6340126,$40.39,$40.78,$40.39
10/22/2024,$40.53,5737985,$40.38,$40.6499,$40.265
10/21/2024,$40.50,4938868,$40.90,$41.015,$40.485
10/18/2024,$40.95,6103568,$40.74,$41.135,$40.45
10/17/2024,$40.77,6409627,$41.03,$41.185,$40.6701
10/16/2024,$40.97,7927842,$40.61,$41.02,$40.51
10/15/2024,$40.56,6077460,$40.17,$40.805,$40.08
10/14/2024,$39.93,5496758,$39.74,$40.095,$39.71
10/11/2024,$39.74,5000169,$39.24,$39.93,$39.24
10/10/2024,$39.27,4011700,$39.61,$39.87,$39.24
10/09/2024,$39.60,3616332,$39.50,$39.78,$39.36
10/08/2024,$39.61,4679284,$39.68,$39.995,$39.535
10/07/2024,$39.54,4301479,$39.99,$40.00,$39.50
10/04/2024,$40.21,7512383,$40.40,$40.59,$40.06
10/03/2024,$40.78,4137768,$41.00,$41.025,$40.6201
10/02/2024,$40.95,4703057,$40.59,$41.115,$40.58
10/01/2024,$40.77,7394575,$40.55,$41.045,$40.44
09/30/2024,$40.55,8333494,$40.38,$40.68,$40.08
09/27/2024,$40.38,5899209,$40.14,$40.56,$40.055
09/26/2024,$39.93,3108109,$39.82,$40.29,$39.81
09/25/2024,$39.99,6309464,$40.22,$40.23,$39.615
09/24/2024,$39.99,9059380,$40.25,$40.49,$39.75
09/23/2024,$40.40,5674328,$40.45,$40.45,$40.08
09/20/2024,$40.27,18779570,$39.65,$40.76,$39.52
09/19/2024,$39.29,6675475,$39.34,$39.45,$38.88
09/18/2024,$39.50,6921888,$40.18,$40.23,$39.29
09/17/2024,$40.20,6829529,$40.36,$40.52,$40.11
09/16/2024,$40.43,7764096,$40.41,$40.63,$40.20
09/13/2024,$40.23,6605797,$39.93,$40.27,$39.69
09/12/2024,$39.86,19881400,$39.39,$39.93,$39.12
09/11/2024,$39.30,11190960,$38.89,$39.375,$38.63
09/10/2024,$39.05,7849058,$38.85,$39.21,$38.72
09/09/2024,$38.73,6209481,$38.38,$38.865,$38.20
09/06/2024,$38.20,4624717,$38.45,$38.66,$38.17
09/05/2024,$38.42,7460601,$39.11,$39.25,$38.28
09/04/2024,$38.89,6121119,$38.67,$39.26,$38.645
09/03/2024,$38.49,7145129,$38.12,$38.685,$38.00
08/30/2024,$38.09,6379520,$37.99,$38.195,$37.815
08/29/2024,$38.03,3705580,$38.00,$38.05,$37.54
08/28/2024,$37.89,5015213,$37.714,$38.275,$37.64
08/27/2024,$37.68,4543352,$38.00,$38.06,$37.625
