Date,Close/Last,Volume,Open,High,Low
11/29/2024,$10.67,3982885,$10.64,$10.86,$10.41
11/27/2024,$10.48,7926452,$10.06,$10.59,$10.01
11/26/2024,$10.04,5238138,$9.70,$10.075,$9.48
11/25/2024,$9.71,3784795,$9.77,$9.94,$9.44
11/22/2024,$9.75,3811192,$9.50,$9.865,$9.33
11/21/2024,$9.51,4282295,$9.19,$9.7182,$9.10
11/20/2024,$9.18,3947033,$9.06,$9.225,$8.805
11/19/2024,$9.09,3005051,$8.71,$9.11,$8.63
11/18/2024,$8.90,4962582,$8.42,$9.07,$8.41
11/15/2024,$8.56,5714745,$9.29,$9.37,$8.48
11/14/2024,$9.18,4009679,$8.95,$9.37,$8.765
11/13/2024,$8.96,5785276,$9.32,$9.42,$8.91
11/12/2024,$9.39,4461931,$9.67,$9.67,$9.04
11/11/2024,$9.81,7850842,$9.09,$9.84,$8.675
11/08/2024,$9.04,5242841,$9.47,$9.755,$8.87
11/07/2024,$9.46,8108449,$9.83,$10.09,$9.3098
11/06/2024,$9.59,8541310,$9.18,$9.75,$8.865
11/05/2024,$8.91,9357150,$8.31,$9.145,$8.27
11/04/2024,$8.30,4915558,$8.08,$8.49,$8.07
11/01/2024,$8.00,7753522,$8.43,$8.54,$7.82
10/31/2024,$8.41,3036595,$8.59,$8.74,$8.38
10/30/2024,$8.65,3085534,$8.59,$8.885,$8.51
10/29/2024,$8.54,4754778,$8.55,$8.65,$8.32
10/28/2024,$8.54,5101989,$8.36,$8.745,$8.26
10/25/2024,$8.64,4474695,$8.92,$8.96,$8.555
10/24/2024,$8.87,2729243,$8.35,$8.90,$8.35
10/23/2024,$8.32,4837696,$8.68,$8.68,$8.22
10/22/2024,$8.58,5020258,$8.93,$9.085,$8.52
10/21/2024,$8.92,3253080,$9.19,$9.42,$8.87
10/18/2024,$9.16,2694753,$9.16,$9.30,$8.95
10/17/2024,$9.13,5052339,$9.35,$9.3599,$8.94
10/16/2024,$9.49,4091945,$9.29,$9.737,$9.26
10/15/2024,$9.16,6585062,$9.51,$9.645,$8.90
10/14/2024,$9.65,6688097,$9.13,$9.86,$8.705
10/11/2024,$9.36,2961635,$9.20,$9.63,$9.15
10/10/2024,$9.30,3629316,$8.99,$9.435,$8.85
10/09/2024,$9.03,4439809,$8.75,$9.1286,$8.67
10/08/2024,$8.93,6331184,$9.07,$9.27,$8.8151
10/07/2024,$9.39,7872775,$10.09,$10.45,$9.24
10/04/2024,$10.09,9607759,$9.49,$10.33,$9.19
10/03/2024,$9.03,12290880,$8.91,$9.26,$8.495
10/02/2024,$8.94,15031010,$9.77,$9.99,$8.64
10/01/2024,$9.68,26606370,$9.31,$11.3186,$9.26
09/30/2024,$9.09,9380695,$9.51,$9.5815,$8.20
09/27/2024,$9.77,4722021,$9.19,$10.02,$9.185
09/26/2024,$8.98,5869194,$9.50,$9.52,$8.85
09/25/2024,$9.55,3760906,$9.87,$9.905,$9.422
09/24/2024,$9.995,2218202,$10.08,$10.22,$9.69
09/23/2024,$9.90,4339328,$9.59,$10.025,$9.17
09/20/2024,$9.49,5618728,$10.50,$10.50,$9.39
