Date,Close/Last,Volume,Open,High,Low
11/29/2024,$55.24,280105,$54.87,$55.472,$54.68
11/27/2024,$54.72,557864,$54.86,$55.16,$54.52
11/26/2024,$54.48,895991,$56.84,$57.00,$54.37
11/25/2024,$57.05,488442,$57.13,$57.49,$56.98
11/22/2024,$56.75,282763,$56.90,$57.00,$56.49
11/21/2024,$56.51,255049,$55.92,$56.54,$55.50
11/20/2024,$55.57,248672,$55.42,$55.61,$55.04
11/19/2024,$55.66,253091,$55.28,$55.69,$54.79
11/18/2024,$55.59,252568,$54.99,$55.92,$54.87
11/15/2024,$55.19,334547,$55.08,$55.42,$54.86
11/14/2024,$54.85,262140,$55.34,$55.395,$54.70
11/13/2024,$55.27,372671,$55.57,$55.74,$54.94
11/12/2024,$55.19,400572,$55.05,$55.63,$54.90
11/11/2024,$54.99,256095,$54.48,$55.23,$54.32
11/08/2024,$54.22,352297,$53.79,$54.35,$53.27
11/07/2024,$53.41,414004,$54.56,$54.72,$53.32
11/06/2024,$54.59,586703,$53.62,$54.76,$53.595
11/05/2024,$53.21,335448,$52.58,$53.33,$52.41
11/04/2024,$52.58,291665,$52.54,$52.93,$52.32
11/01/2024,$52.79,339848,$53.62,$54.06,$52.69
10/31/2024,$53.46,413091,$53.93,$54.16,$53.34
10/30/2024,$53.91,475888,$53.82,$54.48,$53.655
10/29/2024,$53.55,850660,$54.22,$54.66,$52.32
10/28/2024,$55.34,485644,$54.80,$55.37,$54.72
10/25/2024,$54.48,377900,$55.16,$55.16,$54.41
10/24/2024,$55.10,494045,$55.29,$55.51,$54.50
10/23/2024,$55.31,1673570,$54.71,$55.45,$54.71
10/22/2024,$55.00,640276,$55.07,$55.375,$54.6131
10/21/2024,$55.32,461114,$56.45,$56.625,$55.27
10/18/2024,$56.47,497467,$56.47,$56.89,$56.20
10/17/2024,$56.46,420430,$56.98,$57.0363,$56.32
10/16/2024,$56.99,427309,$56.91,$57.125,$56.44
10/15/2024,$56.39,469153,$56.12,$57.30,$56.04
10/14/2024,$55.60,496077,$55.33,$56.14,$55.21
10/11/2024,$55.11,254304,$54.49,$55.16,$54.49
10/10/2024,$54.49,329445,$54.46,$54.7765,$53.993
10/09/2024,$54.56,337927,$54.55,$55.35,$54.44
10/08/2024,$54.73,290004,$55.06,$55.45,$54.72
10/07/2024,$54.63,277842,$55.77,$55.77,$54.485
10/04/2024,$55.77,296788,$55.79,$56.13,$55.40
10/03/2024,$55.95,377947,$56.42,$56.47,$55.89
10/02/2024,$56.41,237721,$56.76,$56.99,$56.28
10/01/2024,$57.24,261864,$57.22,$57.25,$56.71
09/30/2024,$57.22,259466,$56.98,$57.43,$56.82
09/27/2024,$57.27,243311,$57.11,$57.48,$56.94
09/26/2024,$56.82,243700,$57.12,$57.40,$56.705
09/25/2024,$56.93,437061,$56.90,$57.18,$56.54
09/24/2024,$56.85,356089,$57.05,$57.4789,$56.53
09/23/2024,$57.03,304816,$56.79,$57.09,$56.41
09/20/2024,$56.47,1014928,$56.84,$57.23,$56.32
09/19/2024,$56.85,563627,$56.79,$57.1199,$56.15
09/18/2024,$56.54,427376,$56.60,$57.03,$56.26
09/17/2024,$56.67,265580,$56.71,$57.14,$56.36
09/16/2024,$56.52,340309,$56.25,$56.655,$55.90
09/13/2024,$55.94,338710,$55.34,$55.96,$55.01
09/12/2024,$55.46,429641,$55.04,$55.77,$54.805
09/11/2024,$54.58,255181,$54.81,$54.895,$54.03
09/10/2024,$55.19,236807,$54.64,$55.30,$54.605
09/09/2024,$54.54,277941,$54.25,$54.65,$54.01
09/06/2024,$54.21,351986,$54.69,$54.96,$54.13
09/05/2024,$54.61,363226,$54.71,$54.875,$54.46
09/04/2024,$54.30,199386,$54.22,$54.53,$54.06
09/03/2024,$54.03,247790,$54.06,$54.615,$53.94
08/30/2024,$54.39,240943,$53.71,$54.41,$53.71
08/29/2024,$53.65,236993,$53.99,$53.99,$53.435
08/28/2024,$53.75,170073,$53.73,$54.33,$53.625
08/27/2024,$53.65,188624,$54.13,$54.13,$53.51
08/26/2024,$54.12,187222,$54.38,$54.55,$53.981
08/23/2024,$54.04,269440,$53.36,$54.18,$53.27
08/22/2024,$53.32,190239,$53.32,$53.53,$53.06
08/21/2024,$53.32,184538,$53.44,$53.51,$53.22
08/20/2024,$53.23,234962,$53.35,$53.45,$52.97
08/19/2024,$53.44,156430,$53.15,$53.53,$53.15
08/16/2024,$53.20,190166,$52.97,$53.35,$52.865
08/15/2024,$52.93,214373,$53.14,$53.195,$52.50
08/14/2024,$52.60,350965,$52.40,$52.78,$52.16
08/13/2024,$52.24,300332,$52.12,$52.34,$51.735
08/12/2024,$51.81,326080,$52.08,$52.08,$51.23
08/09/2024,$52.17,315219,$52.09,$52.41,$51.395
08/08/2024,$52.18,325728,$51.92,$52.265,$51.51
08/07/2024,$51.74,410497,$52.40,$52.40,$51.25
08/06/2024,$51.91,357888,$51.22,$52.21,$51.16
08/05/2024,$51.49,405872,$53.50,$53.50,$51.23
08/02/2024,$53.91,333432,$53.42,$53.99,$53.00
08/01/2024,$53.46,457467,$53.95,$54.47,$52.76
07/31/2024,$53.77,565908,$54.39,$55.47,$53.65
07/30/2024,$53.51,315179,$53.26,$53.58,$52.71
07/29/2024,$52.87,355511,$53.16,$53.425,$52.66
07/26/2024,$53.27,256048,$53.22,$53.52,$53.01
07/25/2024,$53.13,361751,$53.00,$53.76,$52.725
07/24/2024,$52.68,362300,$52.25,$53.2804,$52.17
07/23/2024,$52.10,392926,$52.87,$52.87,$52.05
07/22/2024,$53.09,275148,$52.65,$53.19,$52.54
07/19/2024,$52.55,274708,$53.17,$53.385,$52.26
07/18/2024,$53.05,220282,$53.33,$54.05,$53.004
07/17/2024,$53.64,316954,$52.81,$54.02,$52.77
07/16/2024,$52.72,276018,$51.79,$52.78,$51.77
07/15/2024,$51.49,278493,$51.31,$51.51,$51.055
07/12/2024,$51.38,237151,$51.25,$51.79,$51.15
07/11/2024,$50.84,275390,$49.62,$51.06,$49.62
07/10/2024,$49.05,190109,$48.83,$49.08,$48.70
07/09/2024,$48.68,200187,$48.60,$49.01,$48.52
07/08/2024,$48.75,204910,$49.22,$49.45,$48.67
07/05/2024,$48.99,147396,$49.08,$49.245,$48.85
07/03/2024,$49.05,118359,$49.39,$49.78,$49.00
07/02/2024,$49.36,167784,$49.43,$49.56,$49.295
07/01/2024,$49.19,296302,$49.99,$50.56,$49.06
06/28/2024,$50.08,668460,$50.24,$50.28,$49.8316
06/27/2024,$50.00,248537,$49.43,$50.01,$49.23
06/26/2024,$49.24,234490,$49.12,$49.695,$49.01
06/25/2024,$49.43,224126,$50.27,$50.27,$49.15
06/24/2024,$50.40,300807,$49.30,$50.47,$49.30
06/21/2024,$49.12,635296,$49.18,$49.51,$48.91
06/20/2024,$49.06,224243,$49.33,$49.6976,$49.02
06/18/2024,$49.40,196868,$49.43,$49.65,$49.19
06/17/2024,$49.57,210137,$49.26,$49.9465,$49.235
06/14/2024,$49.61,160647,$49.25,$49.615,$49.06
06/13/2024,$50.35,182820,$50.13,$50.51,$49.94
06/12/2024,$50.30,264579,$51.63,$51.63,$50.28
06/11/2024,$50.84,271635,$50.13,$50.95,$49.87
06/10/2024,$50.55,135436,$50.25,$50.77,$50.12
06/07/2024,$50.54,175296,$50.97,$50.97,$50.37
06/06/2024,$51.02,131334,$51.19,$51.57,$50.95
06/05/2024,$51.46,177495,$51.60,$51.68,$51.2269
06/04/2024,$51.72,194854,$51.62,$51.87,$51.18
06/03/2024,$51.82,173113,$52.25,$52.39,$51.75
05/31/2024,$51.96,328283,$50.96,$52.09,$50.70
05/30/2024,$50.80,222907,$50.31,$50.81,$50.234
05/29/2024,$50.09,278738,$50.42,$50.49,$49.99
05/28/2024,$50.84,180675,$51.18,$51.31,$50.79
05/24/2024,$51.02,183934,$51.54,$51.54,$50.97
05/23/2024,$51.17,238150,$52.15,$52.15,$51.08
05/22/2024,$52.34,233753,$52.57,$52.865,$52.25
05/21/2024,$52.82,195305,$52.80,$53.03,$52.519
05/20/2024,$52.85,201685,$52.56,$52.99,$52.375
05/17/2024,$52.56,217740,$52.50,$52.85,$52.28
05/16/2024,$52.54,230946,$51.70,$52.63,$51.70
05/15/2024,$51.86,204082,$52.04,$52.115,$51.71
05/14/2024,$51.47,164045,$52.28,$52.38,$51.3962
05/13/2024,$51.86,160777,$52.07,$52.16,$51.62
05/10/2024,$51.77,170873,$51.68,$51.80,$51.42
05/09/2024,$51.75,204055,$51.03,$51.79,$50.98
05/08/2024,$51.06,238340,$50.96,$51.26,$50.94
05/07/2024,$51.26,309201,$51.51,$51.55,$51.08
05/06/2024,$51.15,208565,$51.63,$51.63,$50.96
05/03/2024,$51.18,198501,$51.30,$51.50,$50.645
05/02/2024,$51.00,228176,$51.26,$51.26,$50.60
05/01/2024,$50.85,291556,$50.51,$51.38,$50.365
04/30/2024,$50.44,355557,$50.46,$50.82,$49.97
04/29/2024,$50.48,436020,$49.83,$50.74,$49.83
04/26/2024,$49.55,438152,$50.12,$50.44,$48.82
04/25/2024,$49.91,343523,$50.18,$50.5799,$49.80
04/24/2024,$50.61,240570,$49.99,$50.825,$49.915
04/23/2024,$50.45,193592,$50.18,$50.91,$50.18
04/22/2024,$50.40,255959,$50.02,$50.65,$49.76
04/19/2024,$50.13,269395,$48.86,$50.19,$48.86
04/18/2024,$48.93,293345,$48.52,$49.055,$48.47
04/17/2024,$48.52,316774,$47.85,$48.65,$47.80
