Date,Close/Last,Volume,Open,High,Low
11/29/2024,$80.64,119876,$81.06,$81.73,$80.53
11/27/2024,$80.88,186430,$80.50,$81.735,$80.29
11/26/2024,$80.23,234613,$81.75,$82.23,$79.53
11/25/2024,$81.94,325943,$81.32,$83.305,$81.32
11/22/2024,$80.78,281982,$80.91,$81.465,$80.37
11/21/2024,$80.58,236838,$80.25,$81.81,$79.58
11/20/2024,$79.65,120660,$79.60,$79.93,$78.65
11/19/2024,$79.99,151251,$79.54,$80.05,$78.93
11/18/2024,$80.085,152025,$80.45,$80.98,$79.78
11/15/2024,$80.38,226804,$79.81,$81.18,$79.05
11/14/2024,$79.64,181983,$80.95,$81.64,$79.21
11/13/2024,$80.31,180079,$80.54,$80.60,$79.49
11/12/2024,$79.86,181358,$81.23,$81.4233,$79.52
11/11/2024,$81.43,250123,$79.97,$82.05,$79.70
11/08/2024,$79.06,608343,$82.52,$82.58,$78.301
11/07/2024,$82.49,372110,$85.40,$85.86,$81.77
11/06/2024,$85.52,658589,$85.47,$88.355,$84.94
11/05/2024,$81.55,548193,$74.15,$82.99,$73.425
11/04/2024,$78.53,206243,$77.68,$79.355,$77.52
11/01/2024,$78.09,181029,$78.97,$79.19,$77.95
10/31/2024,$78.52,198527,$79.04,$79.90,$78.52
10/30/2024,$79.04,169354,$79.41,$80.42,$79.00
10/29/2024,$79.32,141914,$79.39,$79.52,$78.30
10/28/2024,$79.75,143599,$79.57,$80.235,$79.57
10/25/2024,$78.85,252461,$78.97,$79.78,$78.61
10/24/2024,$78.19,227513,$77.67,$78.30,$77.01
10/23/2024,$77.63,226407,$76.75,$77.71,$76.65
10/22/2024,$77.07,147226,$77.87,$78.50,$76.89
10/21/2024,$77.90,217895,$79.00,$79.00,$76.96
10/18/2024,$78.56,577558,$79.70,$80.00,$78.55
10/17/2024,$79.51,236948,$78.96,$79.76,$78.67
10/16/2024,$78.85,325119,$79.35,$80.395,$78.69
10/15/2024,$78.62,352902,$78.02,$79.58,$78.01
10/14/2024,$78.57,257118,$77.47,$79.215,$77.13
10/11/2024,$76.87,264741,$75.80,$77.465,$75.12
10/10/2024,$75.61,258369,$74.72,$76.23,$74.09
10/09/2024,$75.38,345449,$74.50,$75.70,$74.10
10/08/2024,$74.74,248364,$75.90,$75.90,$74.38
10/07/2024,$75.93,277461,$77.31,$77.52,$75.685
10/04/2024,$77.74,200613,$77.82,$78.305,$77.12
10/03/2024,$77.06,178250,$77.51,$77.85,$76.735
10/02/2024,$77.74,164545,$77.97,$79.164,$77.4118
10/01/2024,$78.00,178086,$77.83,$78.245,$76.80
09/30/2024,$78.16,172763,$77.64,$78.48,$77.27
09/27/2024,$78.11,177882,$78.03,$78.88,$77.75
09/26/2024,$77.50,246534,$79.24,$79.24,$77.29
09/25/2024,$78.35,283298,$79.82,$80.30,$78.34
09/24/2024,$79.74,261172,$79.14,$81.17,$78.74
09/23/2024,$79.31,140109,$79.53,$79.8673,$78.905
09/20/2024,$79.31,776649,$80.00,$80.50,$78.42
09/19/2024,$79.95,298073,$80.22,$80.87,$79.18
09/18/2024,$78.85,198624,$79.98,$81.45,$78.71
09/17/2024,$80.27,260446,$79.89,$81.38,$79.10
09/16/2024,$79.10,207755,$79.19,$79.265,$78.46
09/13/2024,$78.79,154583,$77.90,$79.24,$77.725
09/12/2024,$77.05,195347,$76.22,$77.98,$75.5339
09/11/2024,$75.53,356113,$76.02,$76.81,$74.89
09/10/2024,$76.29,524383,$77.93,$78.94,$75.64
09/09/2024,$77.81,295833,$77.47,$78.70,$77.23
09/06/2024,$77.55,172533,$78.45,$78.80,$77.41
09/05/2024,$78.18,247013,$80.84,$80.86,$77.975
09/04/2024,$80.67,243901,$81.21,$81.90,$80.0201
09/03/2024,$81.24,260024,$83.77,$83.955,$81.05
08/30/2024,$84.55,197577,$84.04,$85.16,$83.4501
08/29/2024,$83.50,266323,$85.04,$85.22,$83.15
08/28/2024,$84.71,467601,$86.45,$87.285,$83.21
08/27/2024,$86.82,265160,$91.72,$91.72,$86.76
08/26/2024,$92.02,175378,$91.43,$92.51,$91.105
08/23/2024,$90.89,179552,$87.37,$91.10,$87.00
08/22/2024,$87.01,89401,$88.02,$88.05,$86.64
08/21/2024,$87.91,74731,$86.81,$88.09,$86.0208
08/20/2024,$86.38,132420,$87.90,$87.9624,$85.99
08/19/2024,$88.34,95498,$88.88,$88.91,$87.91
08/16/2024,$88.85,164647,$88.46,$89.72,$88.22
08/15/2024,$88.46,197928,$89.20,$90.54,$87.10
08/14/2024,$87.68,180039,$89.64,$89.64,$87.06
08/13/2024,$89.26,130303,$88.77,$90.29,$88.00
08/12/2024,$88.09,120560,$90.45,$90.45,$87.95
08/09/2024,$90.58,163385,$90.68,$90.81,$89.45
08/08/2024,$90.50,166978,$89.93,$92.01,$89.2753
08/07/2024,$88.69,279317,$91.22,$92.99,$88.195
08/06/2024,$90.23,375035,$95.10,$96.79,$89.35
08/05/2024,$92.17,317085,$91.44,$92.98,$90.28
08/02/2024,$93.88,144916,$92.62,$94.76,$92.62
08/01/2024,$95.61,175043,$96.99,$97.405,$93.39
07/31/2024,$96.92,176170,$96.60,$98.05,$95.13
07/30/2024,$96.47,147731,$97.20,$97.20,$95.74
07/29/2024,$96.69,173046,$100.38,$100.52,$95.78
07/26/2024,$100.47,344723,$98.59,$100.841,$97.96
07/25/2024,$97.44,212537,$94.17,$97.69,$94.01
07/24/2024,$94.00,325551,$95.48,$97.27,$93.67
07/23/2024,$96.26,220088,$93.88,$96.30,$93.39
07/22/2024,$94.17,122325,$92.74,$94.4575,$92.00
07/19/2024,$92.75,186894,$93.11,$94.25,$92.73
07/18/2024,$92.61,143592,$93.56,$93.84,$92.20
07/17/2024,$94.15,178124,$94.03,$95.83,$93.50
07/16/2024,$94.30,259204,$89.15,$94.39,$89.15
07/15/2024,$88.71,184055,$88.06,$88.88,$86.94
07/12/2024,$87.82,132492,$87.83,$88.64,$87.69
07/11/2024,$87.23,287850,$87.08,$87.51,$86.47
07/10/2024,$85.48,125154,$84.63,$85.54,$83.65
07/09/2024,$84.07,137947,$85.65,$85.92,$83.94
07/08/2024,$85.90,140691,$86.12,$86.8754,$85.43
07/05/2024,$85.80,144844,$86.69,$86.69,$85.31
07/03/2024,$86.71,86111,$87.17,$87.69,$86.33
07/02/2024,$86.82,175050,$86.22,$87.22,$86.15
07/01/2024,$86.30,240945,$87.59,$88.45,$85.83
06/28/2024,$87.59,684709,$88.52,$89.00,$86.80
06/27/2024,$87.61,160394,$86.50,$88.34,$86.205
06/26/2024,$86.20,900883,$85.99,$86.87,$85.09
06/25/2024,$86.60,275587,$85.72,$86.975,$85.00
06/24/2024,$85.71,252706,$86.13,$87.23,$85.665
06/21/2024,$86.25,480598,$86.61,$87.2899,$85.60
06/20/2024,$86.64,146495,$85.95,$87.70,$85.95
06/18/2024,$86.55,134851,$87.03,$87.39,$86.40
06/17/2024,$87.48,126797,$85.82,$87.67,$85.82
06/14/2024,$86.27,109277,$85.82,$87.175,$85.45
06/13/2024,$87.00,98721,$87.74,$87.74,$86.53
06/12/2024,$88.00,142617,$88.25,$89.00,$87.31
06/11/2024,$86.71,140385,$85.62,$86.855,$85.2301
06/10/2024,$86.52,156611,$87.75,$87.895,$85.28
06/07/2024,$88.22,205805,$88.09,$89.5848,$88.09
06/06/2024,$88.87,191858,$89.54,$90.79,$87.88
06/05/2024,$90.14,195367,$89.72,$90.47,$88.985
06/04/2024,$89.27,212830,$89.46,$89.93,$88.66
06/03/2024,$89.90,267423,$90.86,$91.80,$89.55
05/31/2024,$90.47,169199,$89.90,$91.37,$89.66
05/30/2024,$89.95,121063,$88.69,$89.95,$88.67
05/29/2024,$88.11,131358,$87.86,$88.50,$87.565
05/28/2024,$89.29,97022,$91.37,$91.37,$88.6168
05/24/2024,$90.90,125893,$90.84,$91.13,$90.365
05/23/2024,$90.12,208770,$91.16,$91.17,$89.6126
05/22/2024,$91.36,102549,$91.63,$92.145,$91.20
05/21/2024,$92.07,106017,$91.85,$92.64,$91.85
05/20/2024,$91.93,110242,$92.10,$92.13,$91.07
05/17/2024,$92.16,103333,$92.58,$93.00,$91.96
05/16/2024,$92.22,89762,$91.59,$92.565,$91.50
05/15/2024,$92.01,99426,$92.79,$93.0675,$91.89
05/14/2024,$91.96,159016,$93.36,$93.575,$91.555
05/13/2024,$92.43,133318,$93.52,$93.82,$92.06
05/10/2024,$92.94,147636,$91.40,$93.355,$90.7701
05/09/2024,$91.79,159321,$92.50,$93.715,$91.62
05/08/2024,$92.73,185932,$89.94,$92.80,$88.08
05/07/2024,$90.30,444975,$93.00,$97.19,$90.06
05/06/2024,$90.66,290961,$88.45,$90.73,$88.405
05/03/2024,$87.82,106788,$88.02,$88.19,$87.08
05/02/2024,$87.05,131124,$87.47,$87.51,$86.51
05/01/2024,$86.71,137790,$85.71,$87.48,$84.95
04/30/2024,$85.36,167305,$85.60,$85.88,$84.9803
04/29/2024,$86.01,121164,$85.05,$86.28,$85.05
04/26/2024,$84.58,124938,$85.62,$86.27,$84.44
04/25/2024,$85.57,102226,$84.99,$85.80,$84.38
04/24/2024,$85.70,119024,$84.60,$86.00,$84.56
04/23/2024,$85.04,171698,$83.96,$85.46,$83.75
04/22/2024,$84.28,115692,$84.48,$84.87,$83.7811
04/19/2024,$84.25,189931,$82.19,$84.41,$82.19
04/18/2024,$82.29,137105,$82.26,$83.17,$81.82
04/17/2024,$82.13,122477,$83.81,$84.165,$82.035
04/16/2024,$83.10,147001,$82.44,$83.21,$81.65
04/15/2024,$83.02,187547,$82.77,$83.60,$82.56
04/12/2024,$83.01,158001,$82.62,$83.52,$82.4906
04/11/2024,$82.93,131669,$83.14,$83.58,$82.79
04/10/2024,$82.89,220143,$82.62,$83.36,$81.88
04/09/2024,$84.46,224835,$86.92,$87.62,$84.10
