Date,Close/Last,Volume,Open,High,Low
11/29/2024,$72.56,1383042,$72.87,$73.08,$72.47
11/27/2024,$72.92,2528394,$72.32,$73.375,$72.215
11/26/2024,$71.87,3155878,$72.05,$72.09,$71.25
11/25/2024,$71.60,3122602,$71.75,$71.95,$71.19
11/22/2024,$71.35,2065350,$71.64,$71.7899,$71.23
11/21/2024,$71.38,2645011,$70.474,$71.43,$69.82
11/20/2024,$70.05,2439601,$69.39,$70.235,$69.35
11/19/2024,$69.57,2268127,$69.88,$70.00,$69.11
11/18/2024,$69.94,2598128,$69.52,$70.42,$69.415
11/15/2024,$69.46,4018542,$68.89,$69.90,$68.68
11/14/2024,$68.91,3347527,$68.88,$69.53,$68.48
11/13/2024,$68.65,4068272,$68.67,$68.94,$68.13
11/12/2024,$68.61,5337499,$68.63,$69.35,$68.35
11/11/2024,$68.65,5555993,$67.23,$68.82,$67.14
11/08/2024,$67.37,3859144,$66.27,$67.44,$66.21
11/07/2024,$66.20,4185826,$66.38,$66.88,$66.07
11/06/2024,$66.49,5057919,$65.85,$67.10,$65.32
11/05/2024,$66.33,4713540,$65.94,$66.44,$65.71
11/04/2024,$65.82,12450770,$65.97,$66.18,$65.27
11/01/2024,$66.69,6860953,$67.80,$68.36,$66.60
10/31/2024,$66.81,6805346,$64.375,$67.7299,$63.64
10/30/2024,$63.05,2894626,$63.35,$63.78,$62.63
10/29/2024,$63.34,6475726,$64.30,$64.395,$63.34
10/28/2024,$64.48,4165714,$64.44,$64.88,$64.29
10/25/2024,$64.46,7028049,$65.56,$65.76,$64.21
10/24/2024,$65.11,4941016,$64.53,$65.20,$64.26
10/23/2024,$64.32,2338233,$63.36,$64.365,$63.245
10/22/2024,$63.68,2244157,$63.24,$63.80,$63.0119
10/21/2024,$63.43,2178848,$64.01,$64.12,$63.12
10/18/2024,$64.07,3651774,$63.16,$64.68,$62.92
10/17/2024,$63.25,3382558,$63.85,$63.99,$63.045
10/16/2024,$64.01,2590483,$63.43,$64.06,$63.305
10/15/2024,$63.43,3413211,$63.21,$64.23,$63.09
10/14/2024,$63.02,3148015,$62.46,$63.04,$62.345
10/11/2024,$62.31,2822159,$62.18,$62.66,$62.12
10/10/2024,$62.16,2277396,$62.78,$63.02,$62.14
10/09/2024,$62.58,1867470,$62.78,$63.24,$62.43
10/08/2024,$62.93,2743995,$62.575,$63.43,$62.575
10/07/2024,$63.01,4288920,$63.40,$63.40,$62.53
10/04/2024,$63.73,3052914,$63.68,$63.98,$62.6512
10/03/2024,$64.40,1818293,$65.18,$65.35,$64.38
10/02/2024,$65.15,1940369,$65.09,$65.49,$65.00
10/01/2024,$65.32,2621287,$65.32,$65.64,$64.861
09/30/2024,$65.30,3139754,$64.94,$65.42,$64.39
09/27/2024,$64.57,1912936,$64.24,$64.825,$64.13
09/26/2024,$63.98,2031629,$63.95,$64.47,$63.74
09/25/2024,$64.19,2882874,$64.48,$64.55,$63.90
09/24/2024,$64.17,4888058,$63.58,$64.79,$63.41
09/23/2024,$63.96,2006153,$64.35,$64.36,$63.75
09/20/2024,$64.13,7665855,$64.43,$64.68,$64.05
09/19/2024,$64.06,4861174,$64.27,$64.49,$63.675
09/18/2024,$64.36,5170966,$64.44,$64.61,$63.88
09/17/2024,$64.50,3519814,$64.43,$64.6483,$64.22
09/16/2024,$64.56,3933171,$64.31,$64.9477,$64.19
09/13/2024,$63.84,2961647,$63.81,$63.99,$63.041
09/12/2024,$63.89,4886474,$64.13,$64.43,$63.45
09/11/2024,$63.85,4352787,$63.70,$63.955,$63.08
09/10/2024,$63.84,4935062,$63.65,$64.02,$63.55
09/09/2024,$63.49,2687848,$62.85,$63.62,$62.75
09/06/2024,$62.91,4731757,$63.46,$63.75,$62.845
09/05/2024,$63.46,2969476,$63.74,$63.81,$63.09
09/04/2024,$63.16,4033934,$62.85,$63.35,$62.64
09/03/2024,$62.52,3410354,$61.21,$62.87,$61.075
08/30/2024,$61.23,2858332,$61.37,$61.64,$60.85
08/29/2024,$61.39,2940269,$60.84,$61.51,$60.66
08/28/2024,$60.68,1545597,$61.12,$61.24,$60.6013
08/27/2024,$60.89,2645637,$61.54,$61.66,$60.53
08/26/2024,$61.46,3678662,$60.79,$61.71,$60.59
08/23/2024,$60.12,2069299,$60.17,$60.57,$59.91
08/22/2024,$59.92,1581113,$60.00,$60.04,$59.63
08/21/2024,$59.96,1574086,$59.95,$60.26,$59.605
08/20/2024,$59.99,2669453,$60.00,$60.49,$59.7546
08/19/2024,$60.15,2266126,$59.99,$60.39,$59.99
08/16/2024,$59.98,5147641,$59.15,$60.20,$59.04
08/15/2024,$58.90,2483616,$58.69,$59.20,$58.395
08/14/2024,$58.96,5190786,$59.31,$59.61,$58.65
08/13/2024,$59.66,4337647,$58.41,$59.73,$58.31
08/12/2024,$58.02,1792063,$57.86,$58.21,$57.43
08/09/2024,$57.96,1795173,$58.44,$58.44,$57.2434
08/08/2024,$58.15,3025002,$57.96,$58.85,$57.63
08/07/2024,$58.36,2768021,$57.81,$59.10,$57.75
08/06/2024,$57.86,3064019,$57.90,$58.76,$57.84
08/05/2024,$57.99,4273823,$61.90,$61.90,$57.87
08/02/2024,$59.75,3640956,$61.22,$61.57,$58.93
08/01/2024,$59.11,4540099,$57.61,$59.16,$56.69
07/31/2024,$58.28,6198289,$58.47,$58.67,$57.88
07/30/2024,$58.63,2497976,$57.52,$58.73,$57.51
07/29/2024,$57.69,1995659,$57.59,$57.97,$57.22
07/26/2024,$57.36,3434870,$57.30,$57.67,$57.10
07/25/2024,$56.87,4932466,$57.12,$58.43,$56.42
07/24/2024,$56.36,2907547,$55.67,$56.40,$55.363
07/23/2024,$55.14,2164876,$55.61,$55.72,$55.021
07/22/2024,$55.74,2545063,$56.19,$56.39,$55.61
07/19/2024,$55.94,3043940,$55.80,$56.085,$55.03
07/18/2024,$55.78,3023854,$55.00,$56.11,$54.97
07/17/2024,$55.315,3242316,$54.31,$55.82,$54.26
07/16/2024,$53.93,2377728,$53.57,$53.955,$53.37
07/15/2024,$53.23,2219567,$53.67,$53.73,$52.97
07/12/2024,$54.28,2353946,$54.26,$54.775,$53.76
07/11/2024,$54.08,3535710,$52.80,$54.57,$52.64
07/10/2024,$52.59,2129136,$52.55,$52.73,$52.09
07/09/2024,$52.47,2240529,$52.17,$52.63,$51.97
07/08/2024,$52.11,2244958,$52.49,$52.70,$52.025
07/05/2024,$52.69,1653017,$52.76,$53.05,$52.34
07/03/2024,$52.75,1178345,$53.07,$53.39,$52.705
07/02/2024,$53.20,2660989,$52.67,$53.28,$52.48
07/01/2024,$52.43,2158409,$53.54,$53.79,$52.30
06/28/2024,$53.41,3726729,$53.87,$53.93,$53.04
06/27/2024,$53.85,2471025,$53.84,$54.145,$53.46
06/26/2024,$53.79,2662913,$53.56,$53.865,$53.12
06/25/2024,$53.74,2312056,$53.88,$53.95,$53.36
06/24/2024,$53.98,2705293,$53.61,$54.33,$53.32
06/21/2024,$53.37,6889808,$53.78,$54.15,$53.20
06/20/2024,$53.53,3028147,$53.00,$53.60,$52.87
06/18/2024,$53.12,4269039,$53.04,$53.37,$52.68
06/17/2024,$53.24,2255935,$53.34,$53.73,$53.10
06/14/2024,$53.77,2400617,$53.64,$53.96,$53.401
06/13/2024,$54.34,3339755,$54.60,$55.00,$53.83
06/12/2024,$54.77,3006344,$55.42,$55.445,$54.44
06/11/2024,$55.04,3273623,$54.62,$55.30,$54.34
06/10/2024,$55.24,4067987,$54.78,$55.515,$54.49
06/07/2024,$54.74,3824525,$54.21,$54.93,$53.86
06/06/2024,$54.82,2395085,$55.00,$55.62,$54.67
06/05/2024,$55.16,2474913,$55.87,$56.04,$55.11
06/04/2024,$56.03,3460030,$54.98,$56.535,$54.98
06/03/2024,$55.28,3195100,$55.32,$55.63,$54.85
05/31/2024,$55.45,11067870,$54.46,$55.52,$54.26
05/30/2024,$54.32,3206507,$53.46,$54.44,$53.25
05/29/2024,$53.30,3238116,$53.20,$53.545,$53.03
05/28/2024,$53.74,2561453,$53.93,$54.665,$53.58
05/24/2024,$53.72,2016201,$54.06,$54.1898,$53.645
05/23/2024,$54.05,3074881,$55.09,$55.09,$54.02
05/22/2024,$55.52,4231139,$56.44,$56.57,$55.33
05/21/2024,$56.74,2974446,$56.28,$56.79,$56.08
05/20/2024,$56.07,3694233,$55.76,$56.10,$55.36
05/17/2024,$55.52,4092822,$55.65,$55.84,$55.325
05/16/2024,$55.85,2483464,$55.84,$56.38,$55.60
05/15/2024,$55.79,2278367,$56.32,$56.34,$55.73
05/14/2024,$55.56,2693913,$56.11,$56.38,$55.34
05/13/2024,$55.83,4508281,$55.80,$56.445,$55.60
05/10/2024,$55.46,2432982,$55.50,$55.765,$55.13
05/09/2024,$55.24,4374912,$54.93,$55.47,$54.64
05/08/2024,$54.93,3123283,$55.11,$55.315,$54.57
05/07/2024,$55.02,4676302,$54.64,$55.09,$54.04
05/06/2024,$54.36,4816676,$54.42,$54.43,$53.37
05/03/2024,$54.25,3285090,$53.85,$54.28,$53.55
05/02/2024,$53.79,3910474,$53.84,$54.34,$53.39
05/01/2024,$53.78,4589568,$53.22,$54.20,$52.85
04/30/2024,$53.73,6805638,$53.95,$54.24,$53.57
04/29/2024,$54.48,3884610,$54.27,$54.84,$54.19
04/26/2024,$53.96,6451721,$54.58,$54.68,$53.71
04/25/2024,$55.01,6717657,$55.51,$55.69,$54.35
04/24/2024,$55.33,4614423,$54.31,$55.6375,$54.15
04/23/2024,$55.27,4432126,$54.68,$55.49,$54.68
04/22/2024,$54.96,3996079,$54.84,$55.205,$54.47
04/19/2024,$54.72,4477921,$53.87,$55.00,$53.84
04/18/2024,$53.76,3086997,$53.66,$53.97,$53.10
04/17/2024,$53.19,3926393,$53.01,$53.355,$52.44
04/16/2024,$52.53,3849838,$53.04,$53.09,$52.1723
04/15/2024,$53.17,3826484,$53.33,$53.7199,$52.825
04/12/2024,$53.17,3010402,$53.73,$53.90,$52.84
04/11/2024,$53.49,2630991,$54.09,$54.20,$53.1701
04/10/2024,$53.75,3263922,$53.39,$53.89,$52.87
04/09/2024,$54.37,2331382,$54.45,$54.575,$54.04
04/08/2024,$54.08,4473442,$53.64,$54.16,$53.565
04/05/2024,$53.53,4483985,$53.53,$53.77,$52.955
04/04/2024,$53.77,7021959,$54.78,$54.96,$53.445
04/03/2024,$54.09,4122634,$53.86,$54.115,$53.28
04/02/2024,$54.08,4561558,$53.28,$54.17,$53.14
04/01/2024,$53.28,4266575,$53.69,$53.74,$53.01
03/28/2024,$53.75,3556393,$53.46,$53.89,$53.39
03/27/2024,$53.38,3691769,$52.21,$53.40,$52.18
03/26/2024,$51.80,3498397,$52.49,$52.65,$51.58
03/25/2024,$52.48,3022666,$52.61,$52.73,$52.245
03/22/2024,$52.27,3312618,$52.50,$52.71,$52.04
03/21/2024,$52.30,3854120,$52.72,$53.13,$52.28
03/20/2024,$52.58,4547253,$52.14,$52.725,$52.03
03/19/2024,$52.43,5656951,$51.95,$52.985,$51.95
03/18/2024,$52.04,7217688,$51.65,$52.415,$51.37
03/15/2024,$51.99,11161030,$51.76,$52.235,$51.5694
03/14/2024,$51.88,11860000,$50.78,$51.90,$50.7592
