,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum_1m,momentum_3m,momentum_6m,momentum_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
0,AMWD,0.0002750344615025195,0.4334885757983581,0.7453529546704081,0.7848762753661521,0.49278944731874086,0.4925711301790414,0.49290919056144555,0.4926576791411505,0.6664125737246365,0.21796284257356802,0.6592860751497565,0.8344985680564011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ATCOL,0.0,0.0,0.7825095184178924,0.318904177675465,0.33395873676054955,0.333536950067597,0.33170929143455685,0.3360079306389263,0.6752318813429028,0.14787531939557486,0.6126604542711325,0.8449061707775596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CRML,8.442415784698547e-05,1.0,0.9999999999999998,0.06730615919450961,0.20379843071803713,0.20311488895092247,0.2031207800301808,0.20409756302190518,0.6769940374291824,0.14797309722232457,0.61215361984019,0.8431981731742639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GSM,0.0031038979972596104,0.903248312325123,0.7642331211201427,0.6148165817827738,0.08382890320176059,0.08332392149064063,0.08502948444140557,0.0824795334184936,0.6765107696109148,0.14856671937891483,0.6128172112437044,0.841765556105261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IPX,9.66668914636267e-05,0.7846440232489877,0.5261088073431253,0.41901491249926204,0.20760345180820997,0.20725334724469766,0.20868407674505257,0.20655171138953027,0.682066546780018,0.14787518014187,0.6122692745690556,0.841348317862376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,MERC,0.0007838044633278954,0.4544953407963962,0.7443610618677952,0.6478760816794145,0.21140298954358414,0.210999364798546,0.2116148819247377,0.2111678551326625,0.6774774263722634,0.1545243083803102,0.6178410959558264,0.8410674077769181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,NB,0.00011286903412340978,0.9100598075627823,0.0,0.2926322425594059,0.13621373712090992,0.13705981553329846,0.13927044581306552,0.13438659098093697,0.6771130526521489,0.1502052207355855,0.611884388002001,0.8409974421773148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,SGML,0.0011983809302021948,0.6889812816549643,0.6222445016205307,0.3287146212009986,0.2597374682498502,0.25952392588058604,0.26116355934511026,0.2579999146431832,0.6772112586321617,0.14821460719162188,0.6122010344943425,0.8417507004252315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,UFPI,0.0007108911362203201,0.2940885805110225,0.7498828901242014,0.7918638227478204,0.5064698203976352,0.5062304334457568,0.5060042686995694,0.506742401196884,0.6835174161331792,0.16091039949485458,0.6080809038997562,0.8250407558797995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,VOXR,0.00014284791883918866,0.5708754982639539,0.4361150582943767,0.31486464684695603,0.0,0.0,0.0,0.0,0.6766733433355513,0.14698870106709713,0.6113424379209579,0.8438587155519413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
