,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum,close_extract,eval_3m,eval_6m,eval_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
0,AMWD,-0.24480999164583875,-0.3200679027209472,0.19331238120945038,0.4723872614425461,-0.35794888496113375,-0.35867796837602506,-0.35740369306841396,-0.3588213294914636,-0.1738439109876603,-0.3586896324073991,-0.30056606709646233,-0.27879913723520233,-0.2651586992434862,1,0,0,0,0,0,0,0,0,0,0
1,ATCOL,-0.24691947882262524,-0.4813454358486798,-0.5342601272443046,-1.531576240827705,-0.4649457455321838,-0.46578718355198695,-0.4664462990839532,-0.46424355593458494,-0.14983277862314082,-0.4506524583137725,-0.46980169831072627,-0.430150283470911,-0.45080173503166915,1,0,0,0,0,0,0,0,0,0,0
2,CRML,-0.24664539218247528,-0.5008349305926123,-0.5492449214623893,-2.059449553620844,-0.512419476723348,-0.513500240317235,-0.5137842737219775,-0.5119139001254361,-0.13022463050365823,-0.493300946893857,-0.5113247546527,-0.4678569417745319,-0.4814926217841131,1,0,0,0,0,0,0,0,0,0,0
3,GSM,-0.21977938279089512,-0.48553792795476935,0.49381825444779515,1.0655604581145404,-0.5327159396641769,-0.5339436677343035,-0.5334953488120027,-0.5328963058733487,-0.12907719800768508,-0.5111951913436193,-0.530320924793491,-0.4848744753520548,-0.49902325629710914,1,0,0,0,0,0,0,0,0,0,0
4,IPX,-0.24686677152176498,-0.46809629197620606,-1.436283990007247,-2.059449553620844,-0.5285282028102779,-0.5296070714301715,-0.5291957265359816,-0.5287143676208927,-0.14814981311294695,-0.5106104734463188,-0.5222345806399086,-0.47161595175997784,-0.47363575477548747,1,0,0,0,0,0,0,0,0,0,0
5,MERC,-0.23924824281919735,-0.4386312723108672,-0.6156640093479533,-0.8757336400847135,-0.5091940410370177,-0.5102603668115668,-0.5098849024050521,-0.5094059438807342,-0.2010199520824259,-0.4955498618834745,-0.5197316645923711,-0.47552065980687525,-0.48608397844227874,1,0,0,0,0,0,0,0,0,0,0
6,NB,-0.24632541962849605,-0.43932682375147736,-3.6715495437413903,-1.531576240827705,-0.5192337112126533,-0.5200208208033961,-0.5192989703452215,-0.5199767414338655,-0.1344562961332647,-0.5066002858972065,-0.5295507967788642,-0.4890414399095647,-0.5044985104937452,1,0,0,0,0,0,0,0,0,0,0
7,SGML,-0.2318321276309471,-0.3030409123507892,0.2239907099126912,0.7575666829194664,-0.435869036199483,-0.4367792868031191,-0.43448905858121367,-0.43796893189865804,0.06618624215728935,-0.4054476490980077,-0.416309889961432,-0.4110638374207783,-0.476066473006281,1,0,0,0,0,0,0,0,0,0,0
8,UFPI,-0.23474470370891,-0.12398246750043038,-0.6643139662519375,-0.48434370093163814,-0.246852101333488,-0.24650668444938983,-0.24708632957316426,-0.2468306941021693,-0.33747103047254245,-0.27002737238506863,-0.23420670316944345,-0.20239507381009098,-0.21632336024299736,1,0,0,0,0,0,0,0,0,0,0
9,VOXR,-0.24665442013201958,-0.4926621071769504,-1.395885794784168,-1.381278978157436,-0.5403554666614929,-0.5415535701662583,-0.5412654710683616,-0.540433108562219,-0.12547459902660144,-0.5174400561471629,-0.5378938502706557,-0.49373291748829956,-0.5055297242886272,1,0,0,0,0,0,0,0,0,0,0
10,AMZN,1.0674283528593442,-0.20413790213517324,0.7607095893050316,-0.48434370093163814,-0.2078675364913805,-0.20875661204788074,-0.20764201185595532,-0.20933554067021656,-0.03535789603702377,-0.19294945144594774,-0.12731935247268325,-0.12220286078724338,-0.0663799639252572,0,1,0,0,0,0,0,0,0,0,0
11,BKNG,-0.2406091882995119,7.083596096628181,1.3327642334413685,3.0675199968825213,8.043086445927633,8.036520469203513,8.032214773482107,8.05270726296995,7.213686321398724,8.055617711624235,8.11937187148867,8.515652410420136,8.251832454363132,0,1,0,0,0,0,0,0,0,0,0
12,COST,-0.20930433197457826,0.36115440679458505,0.03171960031713293,0.4723872614425461,1.1827797550499617,1.1872439615946182,1.1784194954552585,1.19081492592877,-0.019909967745669443,1.080615960947805,1.1819624497276193,1.1653309082587302,1.2601292669341746,0,1,0,0,0,0,0,0,0,0,0
