,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low
0,AMZN,68989687.17806041,3.67283217013546,0.005701907790143083,0.993660855784469,144.46335930047695,144.49443306836247,146.2585783783784,142.611543481717
1,BKNG,359753.2186009539,4.6562711349275485,0.04227424483306837,1.0589198036006546,2523.290882352941,2522.1483624801267,2554.5529618441974,2491.0078902225755
2,COST,2260070.310015898,5.026903563167763,0.06967011128775834,1.1578044596912522,512.549686009539,512.2393084260732,516.8727779809221,507.6284426073133
3,CTAS,1810641.853736089,5.2563787588379975,0.048013513513513545,1.1142857142857143,112.05159578696343,112.02138799682037,113.06260945945948,110.94431232114468
4,MAR,2362843.1096979333,4.819400003438302,0.02184499205087441,1.0724876441515652,165.96277027027025,165.9148341017488,167.99528298887122,163.80372146263912
5,MELI,512022.346581876,5.492181806718121,0.014421303656597776,1.086235489220564,1280.5488473767884,1281.11205127186,1304.0730559618441,1256.2821422098568
6,NFLX,6393557.819554849,5.557353321130027,0.07862162162162163,1.0257648953301126,460.54836645469004,460.349506518283,467.1172967408586,453.666989427663
7,PDD,9811992.845786963,7.021601461300642,0.05931637519872812,0.965625,92.67794912559617,92.7158294117647,94.92346168521462,90.54502265500795
8,SBUX,8334285.453100159,2.289473770544852,0.01294753577106518,0.9595015576323987,94.37890302066774,94.37237217806042,95.3227792527822,93.39314848966613
9,TSLA,126547987.0317965,9.55071442222393,0.07244276629570749,1.0063795853269537,206.90752607313192,206.9637696343402,211.68889531001588,202.02726740858506
