,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum,close_extract,eval_3m,eval_6m,eval_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
0,AMWD,88790.22222222222,51.68686990244718,0.15339682539682542,1.1724137931034482,52.572916666666664,52.48734126984127,53.54248174603174,51.59153888888889,0.057713308257652605,76.37,75.72,92.07,78.38,1,0,0,0,0,0,0,0,0,0,0
1,ATCOL,5349.628205128205,5.916186439454803,-0.020785714285714275,0.5555555555555556,24.137972222222224,24.143528174603176,24.250952777777776,24.024175,-0.008478620957540062,23.63,23.78,24.2,24.85,1,0,0,0,0,0,0,0,0,0,0
2,CRML,88522.85454545454,1.694254042297456,-0.0006269841269841293,0.29896907216494845,10.284801587301585,10.284889682539681,10.290001190476191,10.280272222222221,0.0028746864602572195,10.6899,10.84,11.0101,10.39,1,0,0,0,0,0,0,0,0,0,0
3,GSM,1300414.2333333334,7.048170735324571,-0.11515873015873021,0.8947368421052632,5.107857142857143,5.116432539682539,5.241855952380952,4.984007142857143,-0.007928489317715021,4.77,5.0,6.51,5.49,1,0,0,0,0,0,0,0,0,0,0
4,IPX,9655.114942528735,8.0842950833258,-0.687888888888889,0.47368421052631576,5.90877619047619,5.9507353174603175,6.146917460317461,5.748338492063493,0.005412434133220552,7.29,9.55,9.44,15.18,1,0,0,0,0,0,0,0,0,0,0
5,MERC,560120.8666666667,19.067655420479124,-0.07075793650793653,0.9090909090909091,12.140515873015874,12.150496031746032,12.37886111111111,11.91168015873016,-0.030414903532866456,8.07,8.21,9.43,8.04,1,0,0,0,0,0,0,0,0,0,0
6,NB,21296.37777777778,11.244237634434931,-0.9679801587301586,0.5949367088607594,7.576469047619048,7.660356746031747,7.886453968253968,7.331704365079365,-0.009097377401742547,5.01,3.57,3.16,1.64,1,0,0,0,0,0,0,0,0,0,0
7,SGML,629706.6555555556,56.6693174773896,0.29823015873015873,1.1538461538461537,30.667579365079362,30.62722222222222,31.543740873015878,29.680665873015876,0.08465011026850623,40.3,30.33,30.24,11.99,1,0,0,0,0,0,0,0,0,0,0
8,UFPI,298199.4222222222,56.79061115254321,0.09385714285714286,1.25,81.14682539682539,81.07690476190476,82.21966309523809,79.93044642857143,0.03524033735189114,97.05,101.94,123.56,110.32,1,0,0,0,0,0,0,0,0,0,0
9,VOXR,28191.455555555556,2.0662918872039837,-0.19388095238095224,0.5949367088607594,2.4495750000000003,2.458413095238095,2.5088123015873016,2.401680158730159,0.002451832009436374,2.41,1.96,2.07,2.66,1,0,0,0,0,0,0,0,0,0,0
10,AMZN,64789923.333333336,124.05097775679027,0.07780952380952384,1.032258064516129,109.08367063492064,109.01097222222222,110.75521547619047,107.2998119047619,-0.05763444434196209,130.36,129.46,149.93,197.2,0,1,0,0,0,0,0,0,0,0,0
11,BKNG,396321.85555555555,2794.4208529987222,0.24545238095238095,1.290909090909091,2207.1401190476195,2202.0573611111113,2233.2949892857146,2177.3826595238093,4.392151593138081,2700.33,3093.76,3480.56,3884.88,0,1,0,0,0,0,0,0,0,0,0
12,COST,2175489.0444444446,186.63045352497141,0.09102777777777778,1.2300884955752212,501.323253968254,500.9046626984127,505.79494285714287,496.17668611111105,-0.05523767531042776,538.38,571.31,650.65,845.67,0,1,0,0,0,0,0,0,0,0,0
13,CTAS,1699644.2222222222,56.13438942758253,0.06804365079365078,1.1724137931034482,109.32647817460317,109.25757936507935,110.25256865079365,108.20863055555556,0.08037410774744048,124.27,121.2175,147.9775,173.525,0,1,0,0,0,0,0,0,0,0,0
14,MAR,1992256.3666666667,92.4894030452659,0.1280952380952381,1.048780487804878,161.48779761904763,161.30257936507937,163.29863730158726,159.50923650793652,0.12067466441405465,183.69,193.75,221.84,239.51,0,1,0,0,0,0,0,0,0,0,0
15,MELI,646889.1666666666,1504.4411480589367,0.25377777777777777,1.191304347826087,1032.6955753968255,1030.9089404761905,1053.1838543650795,1010.1841111111112,2.265125264048267,1184.6,1259.41,1529.16,1597.6,0,1,0,0,0,0,0,0,0,0,0
16,NFLX,11499504.0,498.2253698872685,0.32330952380952377,0.96875,299.26805555555563,298.47893650793657,304.3524412698412,293.66201746031743,0.7897739026952606,440.49,380.33,468.5,673.61,0,1,0,0,0,0,0,0,0,0,0
17,PDD,12137263.51111111,117.2498072133488,0.24315476190476185,1.032258064516129,71.5538492063492,71.43445515873016,73.26415912698413,69.81791349206351,0.08947024250072926,69.14,99.67,145.64,132.98,0,1,0,0,0,0,0,0,0,0,0
18,SBUX,7328097.466666667,73.51493444588209,0.1515793650793651,1.191304347826087,96.6153373015873,96.47961507936508,97.50178253968255,95.58378452380951,0.10251431878358949,99.06,91.13,93.67,77.13,0,1,0,0,0,0,0,0,0,0,0
19,TSLA,76127639.3,409.5380977781265,0.0885079365079365,1.0826446280991735,211.2685599206349,211.19057142857145,216.02322261904763,206.1653726190476,-0.35179010031772007,261.77,251.6,248.42,209.86,0,1,0,0,0,0,0,0,0,0,0
20,CCEP,1325024.288888889,48.280537810024434,0.1135515873015873,1.032258064516129,54.889980158730154,54.82559523809523,55.34983888888889,54.34046309523809,0.06958440471128848,64.43,61.01,66.49,73.03,0,0,1,0,0,0,0,0,0,0,0
21,CELH,4439072.155555556,47.82555640575652,0.1956706349206349,0.9534883720930233,33.73851984126984,33.693261507936505,34.64494404761905,32.810890476190465,0.04606577102094163,49.73,58.0,59.03,57.84,0,0,1,0,0,0,0,0,0,0,0
22,COKE,55154.933333333334,537.2005403264075,-0.04191269841269839,0.8666666666666667,525.964126984127,526.2407738095237,533.8764091269841,518.1803412698413,0.6425487434789355,636.02,636.4,934.96,1110.0,0,0,1,0,0,0,0,0,0,0,0
23,KDP,7102251.5,18.44610834284651,-0.07473015873015873,0.8394160583941606,35.835436507936514,35.864051587301596,36.1150369047619,35.53239523809524,-0.026890019444150738,31.27,31.21,33.37,32.84,0,0,1,0,0,0,0,0,0,0,0
24,KHC,7801255.455555555,15.285795226754992,-0.014626984126984138,1.1724137931034482,38.28380952380952,38.29050396825397,38.60716626984127,37.93266706349206,0.006822227371335286,35.5,33.09,38.12,31.86,0,0,1,0,0,0,0,0,0,0,0
25,MDLZ,6855553.611111111,42.65614872567779,0.029964285714285707,1.1176470588235294,66.29988095238095,66.28041269841269,66.78120555555556,65.7292761904762,0.05991133902185347,72.94,68.49,73.84,65.24,0,0,1,0,0,0,0,0,0,0,0
26,MNST,5288678.6,36.1050584551576,0.05699603174603173,1.1176470588235294,50.60298611111111,50.57674206349206,51.043458333333334,50.099757142857136,0.05471265793217117,57.44,52.54,58.59,49.9,0,0,1,0,0,0,0,0,0,0,0
27,PEP,4638002.033333333,56.932302997535366,-0.022912698412698402,1.048780487804878,177.93936507936507,177.98620634920636,179.17119206349207,176.58853452380953,0.06278716491084409,185.22,169.17,172.91,162.89,0,0,1,0,0,0,0,0,0,0,0
28,PPC,756985.2,23.48672485141408,-0.11817063492063493,0.8529411764705882,24.921507936507933,24.95460317460317,25.26836746031746,24.595254761904762,-0.031081553702374757,21.49,22.57,28.4,38.24,0,0,1,0,0,0,0,0,0,0,0
